Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,182.04,183.54,176.05,179.25,44711500,0.0,0
2020-05-14,177.05,180.19,175.19,180.03,41873900,0.0,0
2020-05-15,178.56,186.54,176.51,182.65,46610400,0.0,0
2020-05-18,185.23,185.68,183.45,184.4,35306600,0.0,0
2020-05-19,184.52,186.08,182.98,183.12,26799100,0.0,0
2020-05-20,184.81,185.85,183.94,185.66,31261300,0.51,0
2020-05-21,185.4,186.67,183.29,183.43,29119500,0.0,0
2020-05-22,183.19,184.46,182.54,183.51,20826900,0.0,0
2020-05-26,186.34,186.5,181.1,181.57,36073600,0.0,0
2020-05-27,180.2,181.99,176.6,181.81,39517100,0.0,0
2020-05-28,180.74,184.15,180.38,181.4,33810200,0.0,0
2020-05-29,182.73,184.27,180.41,183.25,42146700,0.0,0
2020-06-01,182.54,183.0,181.46,182.83,22622400,0.0,0
2020-06-02,184.25,185.0,181.35,184.91,30794600,0.0,0
2020-06-03,184.82,185.94,183.58,185.36,27311000,0.0,0
2020-06-04,184.3,185.84,182.3,182.92,28761800,0.0,0
2020-06-05,182.62,187.73,182.01,187.2,39893600,0.0,0
2020-06-08,185.94,188.55,184.44,188.36,33211600,0.0,0
2020-06-09,188.0,190.7,187.26,189.8,29783900,0.0,0
2020-06-10,191.13,198.52,191.01,196.84,43872300,0.0,0
2020-06-11,193.13,195.76,186.07,186.27,52854700,0.0,0
2020-06-12,190.54,191.72,185.18,187.74,43345700,0.0,0
