Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,130.52,131.82,126.11,127.77,2539400,0.0,0
2020-05-14,126.4,127.09,123.78,126.72,1589700,0.0,0
2020-05-15,125.78,128.54,124.75,128.46,1172200,0.0,0
2020-05-18,131.36,135.24,131.29,134.88,1684900,0.0,0
2020-05-19,136.3,138.33,135.21,136.39,1649800,0.0,0
2020-05-20,136.71,138.8,135.1,137.94,1587700,0.0,0
2020-05-21,138.23,139.27,136.33,136.54,1199400,0.0,0
2020-05-22,136.39,136.64,133.46,133.56,1021400,0.0,0
2020-05-26,137.18,138.98,136.44,136.74,1730200,0.0,0
2020-05-27,137.56,137.56,132.61,133.39,1890700,0.0,0
2020-05-28,134.88,137.84,133.88,135.23,1334300,0.0,0
2020-05-29,135.65,136.07,132.18,134.69,2404100,0.0,0
2020-06-01,135.56,139.24,134.79,138.29,1260500,0.0,0
2020-06-02,138.57,139.29,137.16,139.0,1422500,0.0,0
2020-06-03,140.52,147.47,139.66,147.17,2766600,0.0,0
2020-06-04,145.96,148.67,145.61,148.53,2194100,0.0,0
2020-06-05,151.11,155.33,150.61,155.17,1292700,0.0,0
2020-06-08,155.27,159.01,154.7,157.58,1894700,0.0,0
2020-06-09,156.27,156.45,150.69,151.06,1223100,0.0,0
2020-06-10,150.88,151.33,146.76,147.53,2985200,0.0,0
2020-06-11,143.21,143.69,135.42,135.44,2484300,0.0,0
2020-06-12,141.08,142.86,137.99,140.6,2441900,0.64,0
