Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,689.66,702.29,681.39,690.88,142400,0,0
2020-05-14,675.74,690.71,661.32,689.53,129200,0,0
2020-05-15,689.94,705.89,678.85,698.7,183400,0,0
2020-05-18,710.0,722.07,708.44,718.7,149100,0,0
2020-05-19,718.63,723.52,710.97,714.06,142800,0,0
2020-05-20,713.76,739.79,713.76,735.56,137300,0,0
2020-05-21,732.66,735.68,717.34,723.0,134000,0,0
2020-05-22,721.61,749.46,721.61,748.31,163700,0,0
2020-05-26,762.16,772.45,756.15,766.0,253900,0,0
2020-05-27,769.66,789.67,762.98,788.31,199100,0,0
2020-05-28,791.03,802.54,784.57,792.4,216700,0,0
2020-05-29,794.71,797.49,779.7,795.0,300900,0,0
2020-06-01,797.82,814.55,794.97,803.43,162600,0,0
2020-06-02,812.0,827.88,801.77,823.6,131500,0,0
2020-06-03,829.51,841.46,825.88,838.0,130100,0,0
2020-06-04,833.43,841.42,827.65,840.66,158200,0,0
2020-06-05,852.55,863.53,846.02,859.54,158600,0,0
2020-06-08,846.51,857.57,844.33,848.66,120900,0,0
2020-06-09,844.49,844.49,808.52,815.48,194500,0,0
2020-06-10,815.48,821.42,801.62,812.61,121200,0,0
2020-06-11,799.9,799.9,755.93,761.57,185900,0,0
2020-06-12,779.82,784.85,750.43,764.42,109200,0,0
