Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,45.87,45.88,42.95,43.53,35117500,0,0
2020-05-14,43.06,45.78,42.51,45.73,27543500,0,0
2020-05-15,43.28,44.78,43.24,44.41,28803900,0,0
2020-05-18,45.83,46.15,44.95,45.92,20325900,0,0
2020-05-19,45.78,46.23,45.02,45.12,17389500,0,0
2020-05-20,46.51,47.04,46.09,46.64,17876500,0,0
2020-05-21,46.5,46.57,44.76,45.22,17445300,0,0
2020-05-22,45.15,45.31,44.24,44.94,13385400,0,0
2020-05-26,46.22,46.69,45.45,45.8,24303900,0,0
2020-05-27,45.95,49.58,43.9,49.45,56071500,0,0
2020-05-28,48.7,48.79,46.07,46.47,38289300,0,0
2020-05-29,46.62,48.02,46.21,47.91,26354600,0,0
2020-06-01,47.49,47.67,46.32,46.34,21809100,0,0
2020-06-02,46.49,46.85,45.57,46.82,23035600,0,0
2020-06-03,48.04,49.42,47.45,48.92,34662100,0,0
2020-06-04,48.86,51.98,48.6,51.22,34830800,0,0
2020-06-05,52.66,54.82,52.59,53.72,34110700,0,0
2020-06-08,54.5,54.64,52.23,53.7,22850600,0,0
2020-06-09,52.65,53.5,52.45,53.15,17840800,0,0
2020-06-10,52.92,53.3,51.57,52.47,18766700,0,0
2020-06-11,50.42,51.09,48.2,48.52,29897600,0,0
2020-06-12,50.29,50.48,47.36,48.69,24266500,0,0
