Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,16.46,16.46,15.45,15.54,9179300,0,0
2020-05-14,15.38,15.58,14.92,15.22,7518200,0,0
2020-05-15,15.07,15.3,14.8,15.16,6983200,0,0
2020-05-18,15.6,16.61,15.59,16.46,8534700,0,0
2020-05-19,16.46,16.46,15.84,16.05,4154700,0,0
2020-05-20,16.22,16.35,16.09,16.32,4980900,0,0
2020-05-21,16.2,16.34,15.72,16.0,5301600,0,0
2020-05-22,15.97,15.97,15.44,15.64,4932200,0,0
2020-05-26,15.93,16.35,15.91,16.14,6236000,0,0
2020-05-27,16.4,17.2,16.08,17.16,10340600,0,0
2020-05-28,17.29,17.49,16.85,17.25,6453700,0,0
2020-05-29,17.15,17.37,16.62,17.07,8152300,0,0
2020-06-01,17.01,17.83,17.0,17.62,6108000,0,0
2020-06-02,17.46,17.7,17.25,17.48,4638900,0,0
2020-06-03,17.53,17.75,17.46,17.54,3244700,0,0
2020-06-04,17.32,17.7,17.26,17.7,4732300,0,0
2020-06-05,18.15,18.72,17.54,17.67,7859900,0,0
2020-06-08,18.0,19.24,17.89,18.78,10387700,0,0
2020-06-09,19.0,19.02,18.22,18.45,8717100,0,0
2020-06-10,18.44,18.45,17.19,17.32,8972300,0,0
2020-06-11,16.81,17.0,16.24,16.3,11618000,0,0
2020-06-12,16.71,16.91,15.65,15.94,7870400,0,0
