Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,9.11,9.25,8.25,8.37,10429800,0,0
2020-05-14,8.09,8.84,7.73,8.46,8537400,0,0
2020-05-15,8.57,8.92,8.41,8.67,11334500,0,0
2020-05-18,9.36,10.09,9.29,9.84,12582600,0,0
2020-05-19,9.8,9.83,9.18,9.23,8909700,0,0
2020-05-20,9.55,9.93,9.35,9.74,8207100,0,0
2020-05-21,9.8,10.06,9.51,10.04,7612300,0,0
2020-05-22,9.95,10.14,9.53,10.1,6508300,0,0
2020-05-26,10.54,10.73,10.03,10.22,7028500,0,0
2020-05-27,10.3,10.36,9.57,10.18,8992500,0,0
2020-05-28,9.98,10.07,9.37,9.51,11171000,0,0
2020-05-29,9.34,9.36,8.63,8.73,41419600,0,0
2020-06-01,8.8,9.49,8.53,9.45,13993100,0,0
2020-06-02,9.51,9.97,9.45,9.81,10062900,0,0
2020-06-03,10.0,10.1,9.66,10.01,11395000,0,0
2020-06-04,9.97,10.32,9.77,10.14,8837600,0,0
2020-06-05,10.99,11.75,10.85,11.26,16736600,0,0
2020-06-08,13.09,13.09,12.09,12.71,15181500,0,0
2020-06-09,12.19,12.26,11.31,11.78,10931900,0,0
2020-06-10,11.51,11.52,10.63,10.75,9452400,0,0
2020-06-11,9.54,10.34,9.3,9.56,10401300,0,0
2020-06-12,10.29,10.55,9.7,10.25,9037200,0,0
