Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,22.68,22.68,21.99,22.41,4270700,0,0
2020-05-14,22.27,22.58,21.57,22.49,3434700,0,0
2020-05-15,22.36,22.6,21.45,22.37,9315600,0,0
2020-05-18,22.94,23.58,22.92,23.17,3931800,0,0
2020-05-19,23.07,23.37,22.91,23.05,2670300,0,0
2020-05-20,23.11,23.48,22.96,23.08,1895200,0,0
2020-05-21,22.98,23.46,22.93,22.99,2284900,0,0
2020-05-22,22.93,23.13,22.84,23.09,1899200,0,0
2020-05-26,23.44,23.83,23.3,23.39,1890700,0,0
2020-05-27,23.75,23.86,23.02,23.32,4091800,0,0
2020-05-28,23.69,24.07,23.56,24.02,3594600,0,0
2020-05-29,23.85,24.09,23.63,23.83,5885800,0,0
2020-06-01,23.8,24.43,23.69,24.21,2402400,0,0
2020-06-02,24.47,24.77,24.27,24.72,3544600,0,0
2020-06-03,24.9,25.62,24.81,25.32,3984000,0,0
2020-06-04,25.06,25.16,24.33,24.62,3247100,0,0
2020-06-05,25.04,25.68,25.01,25.08,2665600,0,0
2020-06-08,25.12,25.67,24.78,25.61,1945200,0,0
2020-06-09,25.33,25.33,24.66,24.83,2028600,0,0
2020-06-10,24.84,25.02,24.38,24.41,2504300,0,0
2020-06-11,23.87,23.98,22.98,23.12,2414900,0,0
2020-06-12,23.64,23.71,22.72,23.26,2521700,0,0
