Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,20.66,20.99,20.1,20.31,4802500,0.0,0
2020-05-14,20.39,20.87,19.87,20.81,5236600,0.0,0
2020-05-15,20.65,20.96,19.8,19.91,6318700,0.0,0
2020-05-18,20.29,20.37,19.69,19.83,5722800,0.0,0
2020-05-19,19.9,20.3,19.62,20.11,6986700,0.0,0
2020-05-20,20.27,21.03,20.12,20.88,9257700,0.0,0
2020-05-21,20.78,20.88,20.07,20.11,5180700,0.0,0
2020-05-22,20.11,20.31,19.97,20.12,2992200,0.0,0
2020-05-26,20.38,20.44,19.7,19.76,4413000,0.0,0
2020-05-27,19.89,19.9,18.8,19.75,7412500,0.0,0
2020-05-28,19.83,21.13,19.74,20.82,7804800,0.0,0
2020-05-29,20.93,22.89,20.74,22.65,16358900,0.0,0
2020-06-01,22.32,22.42,21.5,21.59,9274800,0.0,0
2020-06-02,21.33,21.33,20.36,20.94,10284500,0.0,0
2020-06-03,20.82,21.12,20.4,20.59,4976000,0.0,0
2020-06-04,20.66,21.36,20.47,20.98,7661000,0.0,0
2020-06-05,21.28,21.44,20.59,20.93,6701300,0.0,0
2020-06-08,21.35,21.86,21.06,21.84,7442900,0.0,0
2020-06-09,21.17,21.32,20.61,21.14,11489100,0.125,0
2020-06-10,21.15,21.48,20.63,21.41,9232500,0.0,0
2020-06-11,21.12,21.18,19.97,19.98,6366600,0.0,0
2020-06-12,20.23,20.63,19.56,19.85,7590900,0.0,0
