Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,323.07,324.43,316.47,319.1,690600,0.0,0
2020-05-14,316.91,316.95,306.03,310.61,1121800,0.0,0
2020-05-15,309.99,322.73,308.94,320.27,1672600,0.0,0
2020-05-18,328.78,332.43,321.21,329.77,934400,0.0,0
2020-05-19,329.43,333.77,325.29,325.65,564000,0.0,0
2020-05-20,330.55,330.55,318.36,319.04,899000,0.0,0
2020-05-21,319.23,328.14,318.4,326.72,733400,0.0,0
2020-05-22,327.56,327.56,322.07,324.53,723900,0.0,0
2020-05-26,331.8,331.94,322.1,322.82,1217700,0.0,0
2020-05-27,326.61,342.05,324.82,341.53,934600,0.0,0
2020-05-28,344.94,347.3,340.86,341.28,728200,0.0,0
2020-05-29,339.84,340.74,334.4,335.2,1118800,1.45,0
2020-06-01,335.63,342.12,330.25,330.67,1232400,0.0,0
2020-06-02,332.37,333.82,325.05,327.06,1451400,0.0,0
2020-06-03,329.77,336.69,327.58,335.96,1628800,0.0,0
2020-06-04,336.55,340.94,334.15,335.74,689900,0.0,0
2020-06-05,343.25,346.59,339.69,342.1,1259700,0.0,0
2020-06-08,341.58,349.27,341.48,348.79,661500,0.0,0
2020-06-09,346.88,346.88,340.99,342.53,1039200,0.0,0
2020-06-10,341.24,344.08,338.46,341.25,606200,0.0,0
2020-06-11,330.0,336.73,320.82,320.99,965900,0.0,0
2020-06-12,328.7,328.7,313.08,317.68,817800,0.0,0
