Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,12.75,12.87,11.48,11.51,3991200,0,0
2020-05-14,11.16,11.75,10.79,11.67,4092000,0,0
2020-05-15,11.52,11.91,11.45,11.52,3926500,0,0
2020-05-18,12.36,12.92,12.22,12.78,3532400,0,0
2020-05-19,12.66,12.68,12.02,12.04,3214000,0,0
2020-05-20,12.34,13.0,12.26,13.0,2787300,0,0
2020-05-21,12.89,12.9,11.95,12.12,5944300,0,0
2020-05-22,11.95,12.27,11.8,12.09,4375300,0,0
2020-05-26,12.74,12.98,12.41,12.87,3572400,0,0
2020-05-27,13.1,13.28,12.51,13.26,3159100,0,0
2020-05-28,13.28,13.44,12.82,12.93,2716200,0,0
2020-05-29,12.74,12.83,12.07,12.47,5587400,0,0
2020-06-01,12.55,12.68,12.08,12.5,3619000,0,0
2020-06-02,12.7,12.91,12.6,12.69,4530000,0,0
2020-06-03,13.0,13.46,12.85,13.35,3516600,0,0
2020-06-04,13.36,13.88,13.23,13.76,3155100,0,0
2020-06-05,14.75,15.3,14.6,15.03,5030900,0,0
2020-06-08,15.72,16.53,15.42,16.52,6380500,0,0
2020-06-09,15.71,15.78,15.23,15.69,4405600,0,0
2020-06-10,15.42,15.46,14.43,14.74,4946300,0,0
2020-06-11,13.27,13.63,12.63,12.65,4322300,0,0
2020-06-12,13.42,13.42,12.19,12.77,5389000,0,0
