Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,366.01,370.46,351.29,361.29,2894800,0,0
2020-05-14,358.71,370.06,351.51,367.83,2307200,0,0
2020-05-15,365.45,372.45,363.06,370.46,2504700,0,0
2020-05-18,378.0,381.78,373.18,374.87,1755000,0,0
2020-05-19,375.0,389.67,373.23,382.88,1722100,0,0
2020-05-20,390.0,394.76,384.39,390.16,1463600,0,0
2020-05-21,390.52,393.59,382.41,383.64,991700,0,0
2020-05-22,389.04,394.14,384.99,387.96,1006100,0,0
2020-05-26,396.13,396.15,379.63,380.67,1714700,0,0
2020-05-27,378.05,378.05,352.07,371.16,3761100,0,0
2020-05-28,370.0,386.67,368.46,377.98,1546600,0,0
2020-05-29,381.41,388.23,378.63,387.93,1968900,0,0
2020-06-01,385.06,387.94,381.85,383.37,1336600,0,0
2020-06-02,384.45,392.9,375.44,392.9,2024400,0,0
2020-06-03,389.99,393.11,381.1,388.09,1400800,0,0
2020-06-04,385.69,389.7,372.42,376.95,2087400,0,0
2020-06-05,370.0,390.68,367.03,390.46,2455300,0,0
2020-06-08,386.58,388.77,375.68,386.64,1512700,0,0
2020-06-09,390.98,398.0,385.49,388.83,1689700,0,0
2020-06-10,392.34,405.53,392.34,401.66,2005300,0,0
2020-06-11,393.83,397.46,372.87,375.05,2925000,0,0
2020-06-12,387.62,392.38,377.76,385.13,1555600,0,0
