Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,31.94,32.05,31.12,31.75,3145300,0,0
2020-05-14,31.29,32.71,30.69,32.65,2665700,0,0
2020-05-15,32.39,32.93,32.01,32.6,2708200,0,0
2020-05-18,33.52,35.83,33.25,35.53,3769600,0,0
2020-05-19,35.27,36.03,35.03,35.35,2427600,0,0
2020-05-20,35.93,36.78,35.4,35.5,2650700,0,0
2020-05-21,35.5,35.96,35.23,35.3,1905300,0,0
2020-05-22,35.29,35.73,35.08,35.72,1524100,0,0
2020-05-26,36.58,37.09,35.59,35.74,2330400,0,0
2020-05-27,36.11,36.75,35.68,35.97,2344900,0,0
2020-05-28,36.47,36.88,35.82,36.44,2298100,0,0
2020-05-29,36.38,36.46,35.45,36.05,3487200,0,0
2020-06-01,36.06,36.41,35.65,36.09,1692900,0,0
2020-06-02,36.42,36.51,35.81,35.9,2319100,0,0
2020-06-03,36.29,36.62,36.08,36.38,3021000,0,0
2020-06-04,36.2,36.47,35.03,35.44,3377300,0,0
2020-06-05,36.09,37.05,35.66,36.72,4298200,0,0
2020-06-08,36.83,38.27,36.8,38.16,2784800,0,0
2020-06-09,37.57,37.75,36.31,36.4,1985100,0,0
2020-06-10,36.34,36.74,35.73,36.19,2744900,0,0
2020-06-11,35.31,35.38,33.69,33.77,3303500,0,0
2020-06-12,34.59,34.8,33.04,33.68,3070800,0,0
