Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,42.87,42.87,40.63,41.46,2011200,0,0
2020-05-14,40.75,41.92,39.81,41.84,1874700,0,0
2020-05-15,41.09,42.41,40.93,42.38,1539100,0,0
2020-05-18,43.8,45.09,43.63,44.65,1954400,0,0
2020-05-19,44.64,45.63,44.11,44.68,1318600,0,0
2020-05-20,45.4,46.14,45.35,45.98,1279200,0,0
2020-05-21,45.84,46.42,44.86,45.47,1410800,0,0
2020-05-22,45.26,45.26,44.08,44.68,1626600,0,0
2020-05-26,46.22,46.34,44.89,45.14,2733200,0,0
2020-05-27,45.45,46.45,44.92,46.3,3107400,0,0
2020-05-28,44.78,45.91,44.0,44.15,3456900,0,0
2020-05-29,44.12,44.74,43.53,44.54,3149200,0,0
2020-06-01,43.85,44.13,42.67,42.67,2648200,0,0
2020-06-02,42.87,44.53,42.48,44.14,3313400,0,0
2020-06-03,44.28,46.09,44.17,45.69,2787700,0,0
2020-06-04,45.34,45.93,44.87,45.26,2104600,0,0
2020-06-05,46.44,48.3,46.27,48.06,3646800,0,0
2020-06-08,48.61,49.65,48.48,49.01,2246700,0,0
2020-06-09,48.58,48.6,46.67,46.72,2414300,0,0
2020-06-10,47.02,47.03,45.95,46.22,1848200,0,0
2020-06-11,44.93,44.98,41.11,41.14,3755100,0,0
2020-06-12,42.52,43.04,41.23,42.46,2511300,0,0
