Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,2901.1,2960.0,2737.0,2768.01,30500,0,0
2020-05-14,2750.0,2803.51,2660.0,2800.06,26700,0,0
2020-05-15,2758.52,2841.36,2733.0,2795.06,26400,0,0
2020-05-18,2922.03,3130.0,2847.15,3100.63,39400,0,0
2020-05-19,3078.55,3200.0,3010.0,3137.09,38200,0,0
2020-05-20,3174.13,3239.82,3034.63,3086.0,25900,0,0
2020-05-21,3068.93,3179.04,3052.24,3124.0,26900,0,0
2020-05-22,3114.0,3160.33,3056.01,3133.86,18200,0,0
2020-05-26,3202.0,3309.2,3190.0,3214.42,35000,0,0
2020-05-27,3280.0,3351.69,3260.1,3350.55,36700,0,0
2020-05-28,3365.79,3417.56,3212.62,3220.41,29700,0,0
2020-05-29,3175.55,3285.76,3163.05,3221.61,71600,0,0
2020-06-01,3245.08,3299.2,3185.6,3204.14,19400,0,0
2020-06-02,3270.0,3290.39,3230.01,3263.4,24000,0,0
2020-06-03,3294.45,3455.66,3294.45,3423.81,27600,0,0
2020-06-04,3386.79,3473.97,3378.0,3396.38,27000,0,0
2020-06-05,3475.0,3506.63,3397.0,3491.07,26700,0,0
2020-06-08,3500.0,3619.26,3499.5,3524.75,24400,0,0
2020-06-09,3497.0,3500.0,3405.27,3428.69,18800,0,0
2020-06-10,3420.0,3473.0,3309.53,3420.34,19300,0,0
2020-06-11,3315.2,3339.97,3098.63,3098.63,30800,0,0
2020-06-12,3207.92,3273.44,3101.05,3175.37,24400,0,0
