Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,11.84,11.89,11.26,11.53,7342000,0.0,0
2020-05-14,11.3,11.51,10.87,11.43,2813400,0.0,0
2020-05-15,11.35,11.59,11.16,11.51,2000900,0.0,0
2020-05-18,12.04,12.51,12.04,12.46,2917500,0.0,0
2020-05-19,12.46,12.76,12.22,12.44,3997400,0.0,0
2020-05-20,12.63,12.74,12.25,12.38,3270800,0.0,0
2020-05-21,12.23,12.71,12.16,12.65,4008200,0.0,0
2020-05-22,12.77,12.77,12.46,12.58,2180100,0.0,0
2020-05-26,12.9,13.52,12.83,13.33,3755300,0.0,0
2020-05-27,13.66,14.18,13.63,14.16,3974500,0.0,0
2020-05-28,14.37,14.37,13.53,13.58,3761100,0.23,0
2020-05-29,13.43,13.43,13.06,13.15,6024800,0.0,0
2020-06-01,13.1,13.51,13.06,13.46,3066100,0.0,0
2020-06-02,13.6,13.91,13.5,13.85,2843200,0.0,0
2020-06-03,13.99,15.11,13.96,14.99,4962700,0.0,0
2020-06-04,14.96,15.75,14.83,15.47,5231000,0.0,0
2020-06-05,16.0,16.79,15.99,16.4,5604100,0.0,0
2020-06-08,16.7,17.48,16.64,17.42,4910400,0.0,0
2020-06-09,16.83,17.07,16.44,16.66,4458000,0.0,0
2020-06-10,16.69,16.69,15.92,15.93,3567900,0.0,0
2020-06-11,15.08,15.45,14.82,14.88,3383600,0.0,0
2020-06-12,15.5,15.61,14.84,15.3,3163200,0.0,0
