Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,10.6,10.95,10.55,10.93,760600,0,0
2020-05-14,10.65,11.01,10.31,11.0,649500,0,0
2020-05-15,10.92,11.11,10.78,11.01,804500,0,0
2020-05-18,11.49,11.64,11.19,11.28,962100,0,0
2020-05-19,11.25,11.52,11.15,11.28,392300,0,0
2020-05-20,11.36,11.69,11.36,11.65,396900,0,0
2020-05-21,11.6,11.67,11.39,11.55,391000,0,0
2020-05-22,11.58,11.68,11.53,11.63,249800,0,0
2020-05-26,12.05,12.12,11.88,12.0,299600,0,0
2020-05-27,12.17,12.3,11.98,12.3,415400,0,0
2020-05-28,12.34,12.34,11.96,12.02,575700,0,0
2020-05-29,11.98,12.31,11.96,12.26,907100,0,0
2020-06-01,12.27,12.47,12.19,12.24,490100,0,0
2020-06-02,12.39,12.4,12.17,12.32,374600,0,0
2020-06-03,12.5,13.02,12.44,12.97,525800,0,0
2020-06-04,12.86,13.02,12.74,12.84,591100,0,0
2020-06-05,13.4,13.46,13.0,13.04,729600,0,0
2020-06-08,12.99,13.51,12.99,13.42,784900,0,0
2020-06-09,13.27,13.27,12.87,12.92,360900,0,0
2020-06-10,12.92,12.92,12.44,12.44,558400,0,0
2020-06-11,12.08,12.17,11.41,11.44,675400,0,0
2020-06-12,11.93,11.95,11.49,11.75,557400,0,0
