Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,10.46,10.63,10.3,10.61,3623100,0,0
2020-05-14,10.39,10.8,10.07,10.73,3967500,0,0
2020-05-15,10.67,10.9,10.52,10.87,2877600,0,0
2020-05-18,11.35,11.54,11.09,11.16,2455500,0,0
2020-05-19,11.16,11.41,11.06,11.1,1906700,0,0
2020-05-20,11.24,11.51,11.19,11.45,1720900,0,0
2020-05-21,11.37,11.47,11.26,11.38,1658300,0,0
2020-05-22,11.45,11.58,11.33,11.52,1853100,0,0
2020-05-26,11.94,12.01,11.73,11.88,2986900,0,0
2020-05-27,12.06,12.09,11.78,12.09,3736200,0,0
2020-05-28,12.19,12.21,11.81,11.88,2614400,0,0
2020-05-29,11.84,12.29,11.77,12.25,4649400,0,0
2020-06-01,12.26,12.46,12.16,12.19,2103500,0,0
2020-06-02,12.39,12.39,12.05,12.25,3330800,0,0
2020-06-03,12.44,12.93,12.17,12.91,4388000,0,0
2020-06-04,12.79,12.99,12.63,12.79,5490200,0,0
2020-06-05,13.07,13.32,12.89,12.96,3410300,0,0
2020-06-08,12.95,13.38,12.92,13.36,2387400,0,0
2020-06-09,13.19,13.26,12.83,12.88,1769200,0,0
2020-06-10,12.88,12.88,12.37,12.39,2155600,0,0
2020-06-11,12.0,12.04,11.38,11.41,2152500,0,0
2020-06-12,11.88,11.93,11.42,11.72,1954000,0,0
