Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,51.14,51.45,49.65,50.01,3036900,0.0,0
2020-05-14,49.14,50.25,47.48,50.17,3220500,0.0,0
2020-05-15,49.84,49.95,48.35,49.78,4836900,0.0,0
2020-05-18,52.2,53.5,52.07,52.85,3417500,0.0,0
2020-05-19,52.75,53.49,51.76,52.37,2348500,0.0,0
2020-05-20,52.78,52.82,50.61,51.22,3196300,0.0,0
2020-05-21,51.04,52.1,50.75,51.53,2381100,0.0,0
2020-05-22,51.6,52.11,51.24,51.93,1835000,0.0,0
2020-05-26,54.61,55.5,53.93,55.26,2852200,0.0,0
2020-05-27,56.78,57.25,54.0,55.16,4160800,0.0,0
2020-05-28,55.83,55.89,54.26,55.47,4616500,0.0,0
2020-05-29,55.1,56.74,54.65,55.31,10417200,0.233,0
2020-06-01,55.5,57.0,55.17,56.57,2495100,0.0,0
2020-06-02,57.29,57.86,56.8,57.2,3076500,0.0,0
2020-06-03,58.1,60.59,58.01,60.16,2645700,0.0,0
2020-06-04,60.05,60.62,58.85,60.11,2330500,0.0,0
2020-06-05,62.72,64.2,61.06,62.21,4942700,0.0,0
2020-06-08,64.25,64.47,63.39,64.17,3247800,0.0,0
2020-06-09,62.19,63.05,61.6,62.85,2487200,0.0,0
2020-06-10,63.06,63.12,60.91,62.13,3131700,0.0,0
2020-06-11,57.8,60.5,57.54,57.88,4076600,0.0,0
2020-06-12,60.73,61.18,58.52,60.43,2368400,0.0,0
