Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,50.82,50.96,47.93,48.51,2630200,0.0,0
2020-05-14,47.85,49.85,46.11,49.68,3047600,0.0,0
2020-05-15,49.15,50.72,48.52,50.33,4187600,0.0,0
2020-05-18,52.64,53.38,52.41,52.58,1965400,0.0,0
2020-05-19,52.33,52.78,51.07,51.71,2297300,0.0,0
2020-05-20,52.24,52.9,51.7,51.85,2002100,0.0,0
2020-05-21,51.75,52.67,51.18,51.28,2300300,0.0,0
2020-05-22,51.28,52.07,50.62,51.2,2026800,0.0,0
2020-05-26,53.04,53.92,52.63,53.49,3991500,0.0,0
2020-05-27,55.05,57.4,54.88,57.16,3861700,0.0,0
2020-05-28,57.0,57.16,54.42,54.55,2083800,0.0,0
2020-05-29,53.9,54.34,52.56,54.18,3461800,0.0,0
2020-06-01,54.28,55.78,54.28,54.96,2155000,0.0,0
2020-06-02,55.57,55.66,54.4,54.64,2492800,0.0,0
2020-06-03,55.73,56.76,55.04,56.49,2904100,0.0,0
2020-06-04,56.05,57.26,54.8,57.21,2883500,0.0,0
2020-06-05,59.23,62.17,59.23,60.1,4737400,0.0,0
2020-06-08,60.69,63.28,60.69,63.19,3272900,0.0,0
2020-06-09,62.08,62.28,59.57,59.67,2670400,0.0,0
2020-06-10,59.45,59.45,56.68,57.47,2521300,0.0,0
2020-06-11,55.17,55.96,54.02,54.45,2879800,0.65,0
2020-06-12,56.15,57.17,53.87,55.03,2353600,0.0,0
