Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,52.43,52.49,51.28,51.65,10274300,0,0
2020-05-14,51.14,53.03,50.86,52.91,13794000,0,0
2020-05-15,52.7,53.99,52.52,52.92,39055700,0,0
2020-05-18,53.91,53.95,53.07,53.15,9901900,0,0
2020-05-19,53.18,53.25,52.32,52.34,9805100,0,0
2020-05-20,53.09,53.27,52.65,52.9,9115900,0,0
2020-05-21,52.76,52.94,52.12,52.22,7464000,0,0
2020-05-22,52.34,52.64,52.08,52.62,7211700,0,0
2020-05-26,53.65,53.68,52.65,52.78,11200600,0,0
2020-05-27,53.0,53.25,52.57,53.2,9228100,0,0
2020-05-28,53.76,54.15,53.22,53.62,9465400,0,0
2020-05-29,53.62,53.94,52.99,53.77,14735300,0,0
2020-06-01,53.28,53.39,52.79,53.06,7363200,0,0
2020-06-02,53.24,53.29,52.64,53.28,8756300,0,0
2020-06-03,53.33,53.62,52.99,53.49,9188700,0,0
2020-06-04,53.23,53.69,52.63,52.85,9696000,0,0
2020-06-05,53.09,54.27,52.74,53.98,12210100,0,0
2020-06-08,53.35,55.12,53.28,55.1,11519500,0,0
2020-06-09,55.0,55.06,53.88,54.18,8852500,0,0
2020-06-10,54.5,54.66,53.9,54.11,7436700,0,0
2020-06-11,53.25,53.56,51.23,51.31,12805700,0,0
2020-06-12,52.45,53.0,50.98,51.86,11537200,0,0
