Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,392.43,398.97,385.13,389.89,741400,0,0
2020-05-14,386.66,398.93,377.27,398.6,587900,0,0
2020-05-15,394.75,408.17,392.07,407.12,969300,0,0
2020-05-18,416.3,423.31,408.84,409.89,953200,0,0
2020-05-19,410.0,417.0,405.95,409.78,671200,0,0
2020-05-20,410.0,413.92,403.25,407.11,592300,0,0
2020-05-21,407.88,411.37,400.02,404.28,458400,0,0
2020-05-22,403.33,405.4,398.5,404.99,449600,0,0
2020-05-26,413.08,416.19,397.69,399.12,851000,0,0
2020-05-27,402.96,416.29,401.95,415.28,699700,0,0
2020-05-28,415.0,417.79,411.29,413.13,452800,0,0
2020-05-29,414.82,418.9,411.95,417.24,562700,0,0
2020-06-01,418.95,422.76,415.81,417.6,505800,0,0
2020-06-02,420.39,422.5,417.26,419.74,524200,0,0
2020-06-03,419.93,425.82,417.69,420.95,478100,0,0
2020-06-04,420.07,421.72,410.8,413.85,369500,0,0
2020-06-05,417.9,423.65,414.38,422.7,554200,0,0
2020-06-08,419.71,425.46,417.63,419.73,500800,0,0
2020-06-09,417.33,424.0,416.21,423.24,741700,0,0
2020-06-10,422.71,423.81,415.72,416.48,498900,0,0
2020-06-11,410.98,418.17,408.8,408.92,579900,0,0
2020-06-12,415.0,415.61,401.65,410.35,617300,0,0
