Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,14.64,14.64,13.27,13.43,35258100,0.0,0
2020-05-14,13.14,14.14,12.74,13.75,32064000,0.0,0
2020-05-15,13.68,14.27,13.5,13.81,27756400,0.0,0
2020-05-18,14.79,15.22,14.65,15.06,39943800,0.0,0
2020-05-19,15.18,15.18,14.35,14.36,28708600,0.0,0
2020-05-20,14.73,15.14,14.55,14.98,29203100,0.0,0
2020-05-21,14.99,15.15,14.18,14.24,35671400,0.0,0
2020-05-22,14.15,14.23,13.66,14.12,26334300,0.0,0
2020-05-26,14.69,14.76,14.2,14.39,28033000,0.0,0
2020-05-27,14.69,14.69,13.8,14.41,31403000,0.0,0
2020-05-28,14.38,14.42,13.55,13.63,39856900,0.0,0
2020-05-29,13.53,13.53,12.71,12.94,61378500,0.0,0
2020-06-01,12.89,13.89,12.66,13.8,36714900,0.0,0
2020-06-02,14.01,14.74,13.9,14.74,40165900,0.0,0
2020-06-03,15.33,15.6,15.03,15.44,41191600,0.0,0
2020-06-04,15.07,15.69,14.58,15.54,39027900,0.0,0
2020-06-05,17.89,20.84,17.8,20.78,119073400,0.0,0
2020-06-08,23.52,24.49,21.99,24.39,131285800,0.0,0
2020-06-09,22.74,23.45,20.47,23.17,71936800,0.0,0
2020-06-10,22.01,22.34,20.74,20.75,50740500,0.0,0
2020-06-11,17.83,19.17,17.25,17.4,61262900,0.0,0
2020-06-12,18.88,19.6,17.65,18.5,44877500,0.01,0
