Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,11.0,11.11,10.29,10.5,4482000,0,0
2020-05-14,10.47,11.03,10.0,10.91,3959700,0,0
2020-05-15,10.79,10.96,10.57,10.68,3216000,0,0
2020-05-18,11.14,11.59,11.12,11.54,3654000,0,0
2020-05-19,11.44,11.57,11.0,11.02,5151300,0,0
2020-05-20,11.23,11.49,11.23,11.4,3088000,0,0
2020-05-21,11.3,11.46,11.13,11.17,3353600,0,0
2020-05-22,11.21,11.27,10.83,10.86,3103000,0,0
2020-05-26,11.32,11.91,11.24,11.73,3658700,0,0
2020-05-27,12.18,12.39,11.89,12.28,3371500,0,0
2020-05-28,12.32,12.41,11.56,11.63,3471200,0,0
2020-05-29,11.45,11.69,11.33,11.45,7265900,0,0
2020-06-01,11.53,11.81,11.4,11.75,3112600,0,0
2020-06-02,11.91,12.03,11.54,11.65,3037900,0,0
2020-06-03,11.9,12.38,11.9,12.19,3744800,0,0
2020-06-04,12.19,12.65,11.97,12.65,4310200,0,0
2020-06-05,13.48,13.68,13.18,13.45,5764700,0,0
2020-06-08,13.76,13.99,13.57,13.79,4891000,0,0
2020-06-09,13.5,13.75,13.07,13.52,4394200,0,0
2020-06-10,13.38,13.38,12.76,12.79,4789600,0,0
2020-06-11,12.05,12.41,11.6,11.66,4935200,0,0
2020-06-12,12.27,12.28,11.75,12.2,5759300,0,0
