Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,46.14,46.17,44.03,44.55,3538900,0.0,0
2020-05-14,44.11,46.21,43.47,46.15,4694800,0.0,0
2020-05-15,45.93,46.16,44.55,45.04,4422700,0.0,0
2020-05-18,46.28,49.47,46.08,48.9,4632800,0.0,0
2020-05-19,48.58,48.87,47.71,48.06,4613200,0.0,0
2020-05-20,48.52,49.11,47.92,48.3,2767700,0.0,0
2020-05-21,48.09,48.84,47.57,47.63,1846100,0.0,0
2020-05-22,47.68,47.71,47.2,47.68,1168500,0.0,0
2020-05-26,48.92,49.92,48.85,48.95,1483500,0.0,0
2020-05-27,49.91,50.31,48.8,49.45,2633400,0.0,0
2020-05-28,50.16,50.86,49.35,50.56,3297000,0.0,0
2020-05-29,50.29,50.66,49.67,50.57,4433100,0.0,0
2020-06-01,50.45,52.24,50.35,51.74,2330900,0.0,0
2020-06-02,52.02,52.13,51.08,51.79,2032500,0.0,0
2020-06-03,52.21,52.65,51.83,52.27,1743300,0.0,0
2020-06-04,51.81,52.04,50.8,51.46,2370000,0.0,0
2020-06-05,52.3,54.15,51.92,52.99,2329900,0.0,0
2020-06-08,53.0,55.73,53.0,55.5,3050500,0.49,0
2020-06-09,54.85,54.85,53.12,53.67,2731700,0.0,0
2020-06-10,53.4,53.45,52.13,52.2,4257500,0.0,0
2020-06-11,51.12,51.33,49.42,50.0,2992700,0.0,0
2020-06-12,51.22,51.3,48.93,49.71,2385500,0.0,0
