Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,132.15,133.43,130.44,131.94,5168500,0.0,0
2020-05-14,131.69,132.53,129.15,132.05,5522200,0.0,0
2020-05-15,132.74,136.6,131.77,134.9,20338200,0.0,0
2020-05-18,135.8,136.93,134.02,134.48,8480300,0.0,0
2020-05-19,133.39,133.72,130.39,130.72,6640300,0.0,0
2020-05-20,131.52,131.66,129.34,130.25,8213100,0.0,0
2020-05-21,129.97,130.43,128.61,129.21,4886300,0.0,0
2020-05-22,128.61,129.62,128.18,129.48,3429200,0.0,0
2020-05-26,130.92,131.03,128.4,128.75,5579300,0.0,0
2020-05-27,128.72,129.83,127.59,129.8,5686500,0.0,0
2020-05-28,130.2,131.71,129.11,131.27,4974400,0.0,0
2020-05-29,130.99,131.22,129.32,130.54,13338800,0.0,0
2020-06-01,130.59,132.92,130.18,131.97,4049200,0.0,0
2020-06-02,132.03,132.78,130.11,131.61,5327500,0.0,0
2020-06-03,132.21,133.25,131.58,131.8,5421200,0.0,0
2020-06-04,131.59,133.56,130.18,130.57,5229700,1.023,0
2020-06-05,131.0,133.52,130.77,132.44,7075700,0.0,0
2020-06-08,131.38,132.47,131.24,132.21,5613000,0.0,0
2020-06-09,131.83,133.15,131.05,132.97,6446900,0.0,0
2020-06-10,133.28,135.16,133.17,134.13,7069900,0.0,0
2020-06-11,134.22,135.14,127.46,127.84,8541000,0.0,0
2020-06-12,129.15,129.93,127.43,129.0,7037500,0.0,0
