Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,33.55,34.28,31.82,32.06,1582300,0.0,0
2020-05-14,31.16,33.27,30.32,33.16,1860600,0.0,0
2020-05-15,32.81,33.78,32.26,33.39,1473900,0.0,0
2020-05-18,35.13,36.67,34.79,36.27,1677600,0.0,0
2020-05-19,35.81,35.98,34.79,34.82,1129300,0.0,0
2020-05-20,35.62,36.2,35.44,35.62,897400,0.0,0
2020-05-21,35.36,36.59,35.04,36.49,1196300,0.0,0
2020-05-22,36.68,36.69,35.73,36.42,1630300,0.0,0
2020-05-26,38.21,39.16,37.98,38.59,2049900,0.0,0
2020-05-27,40.4,41.01,39.52,40.43,1474900,0.0,0
2020-05-28,41.05,41.22,39.81,40.24,2148400,0.0,0
2020-05-29,38.98,40.51,38.06,38.62,2718100,0.56,0
2020-06-01,38.62,39.86,37.95,39.52,1896900,0.0,0
2020-06-02,40.14,40.61,39.48,39.71,1431900,0.0,0
2020-06-03,40.68,43.17,40.34,43.03,1697200,0.0,0
2020-06-04,42.33,44.64,42.08,44.64,1753200,0.0,0
2020-06-05,47.26,48.41,46.57,47.05,1931100,0.0,0
2020-06-08,48.0,49.34,47.61,48.72,2680700,0.0,0
2020-06-09,46.53,47.65,46.04,47.27,1342300,0.0,0
2020-06-10,46.58,46.66,44.31,44.34,1805100,0.0,0
2020-06-11,41.3,42.7,39.93,40.05,2198100,0.0,0
2020-06-12,42.32,42.38,40.29,41.88,1514100,0.0,0
