Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,114.28,115.35,113.73,113.92,9312600,0,0
2020-05-14,113.54,114.45,111.25,113.81,9310000,0,0
2020-05-15,113.93,114.79,112.05,114.61,10694800,0,0
2020-05-18,116.03,116.99,114.71,116.21,10020800,0,0
2020-05-19,115.09,115.64,112.34,112.44,8047600,0,0
2020-05-20,113.0,113.77,112.13,113.28,6593800,0,0
2020-05-21,112.8,113.2,111.43,111.62,6552700,0,0
2020-05-22,112.29,113.6,111.76,112.6,5571900,0,0
2020-05-26,114.15,114.15,111.68,112.03,10432400,0,0
2020-05-27,112.5,113.97,111.82,113.89,8279700,0,0
2020-05-28,115.53,116.99,114.9,116.06,6586700,0,0
2020-05-29,116.13,116.72,114.62,115.92,7987900,0,0
2020-06-01,116.0,117.5,115.26,117.25,5105600,0,0
2020-06-02,117.07,118.14,116.82,118.06,6327900,0,0
2020-06-03,118.1,119.19,117.95,118.53,6171000,0,0
2020-06-04,118.0,118.83,115.57,116.05,6895800,0,0
2020-06-05,116.25,118.83,116.05,118.33,7337800,0,0
2020-06-08,117.44,119.12,116.84,119.05,6926700,0,0
2020-06-09,119.4,119.76,118.15,118.34,5563200,0,0
2020-06-10,119.0,119.89,118.11,119.23,6678200,0,0
2020-06-11,118.81,119.57,116.0,116.26,8937500,0,0
2020-06-12,116.59,118.05,115.26,115.62,7998500,0,0
