Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,71.82,73.51,71.25,72.76,3968700,0,0
2020-05-14,72.27,73.85,71.92,73.74,4001800,0,0
2020-05-15,73.61,76.44,72.71,76.21,5593000,0,0
2020-05-18,77.32,77.83,75.63,76.62,3360500,0,0
2020-05-19,76.1,77.86,75.83,75.87,2610500,0,0
2020-05-20,76.42,76.75,74.65,74.89,2902900,0,0
2020-05-21,74.52,75.46,72.71,75.02,3899800,0,0
2020-05-22,75.16,75.74,74.27,74.72,2166000,0,0
2020-05-26,75.9,76.36,73.66,74.13,5212700,0,0
2020-05-27,75.32,77.32,74.07,76.47,4687900,0,0
2020-05-28,77.32,77.46,75.91,76.59,2613800,0,0
2020-05-29,76.77,77.88,76.45,77.68,4412400,0,0
2020-06-01,77.75,78.88,77.22,78.34,1749100,0,0
2020-06-02,78.57,79.28,78.29,79.08,2205200,0,0
2020-06-03,79.83,79.83,78.3,79.11,2288400,0,0
2020-06-04,78.59,78.97,77.57,78.8,2766400,0,0
2020-06-05,80.33,82.7,78.78,81.87,3838000,0,0
2020-06-08,81.53,81.69,80.49,81.51,3052300,0,0
2020-06-09,81.0,81.56,80.2,81.02,2468600,0,0
2020-06-10,80.81,81.83,79.94,80.28,2413800,0,0
2020-06-11,78.77,79.18,75.82,75.92,3302500,0,0
2020-06-12,77.41,78.27,75.0,76.6,2344300,0,0
