Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,151.14,152.42,144.51,146.79,1892300,0,0
2020-05-14,143.28,151.1,140.01,151.07,1462700,0,0
2020-05-15,149.08,156.52,148.22,153.29,1380200,0,0
2020-05-18,161.23,166.73,160.97,165.14,1432400,0,0
2020-05-19,164.24,169.24,161.0,164.13,1432200,0,0
2020-05-20,167.13,170.97,167.07,168.36,875400,0,0
2020-05-21,168.52,171.05,165.88,166.73,770300,0,0
2020-05-22,167.58,168.08,163.86,166.88,705800,0,0
2020-05-26,173.81,180.99,173.51,179.63,1908800,0,0
2020-05-27,183.51,185.47,180.07,183.69,2149800,0,0
2020-05-28,185.2,185.57,178.48,178.82,1961800,0,0
2020-05-29,177.28,182.08,176.44,179.97,1779000,0,0
2020-06-01,180.62,184.73,179.52,182.96,1110200,0,0
2020-06-02,184.94,185.61,182.86,185.15,1379400,0,0
2020-06-03,188.99,196.62,188.99,196.3,1676700,0,0
2020-06-04,194.39,198.32,193.04,196.86,1766600,0,0
2020-06-05,205.1,209.4,194.91,195.45,2669400,0,0
2020-06-08,195.69,203.56,195.69,202.14,1302600,0,0
2020-06-09,197.54,199.28,195.1,195.18,1062200,0,0
2020-06-10,194.37,194.66,187.05,187.19,1800500,0,0
2020-06-11,178.73,180.12,173.13,173.42,1424800,0,0
2020-06-12,181.43,182.35,173.72,180.16,1464000,0,0
