Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,27.76,27.76,26.43,27.09,5381900,0.0,0
2020-05-14,26.45,27.62,26.01,27.5,4253300,0.0,0
2020-05-15,27.0,27.92,26.65,27.63,2742600,0.0,0
2020-05-18,29.27,31.37,29.08,31.03,4504000,0.0,0
2020-05-19,30.88,32.3,30.2,31.29,3986000,0.0,0
2020-05-20,31.85,32.29,30.76,31.33,5138100,0.0,0
2020-05-21,31.2,32.82,31.17,32.58,4504700,0.0,0
2020-05-22,32.9,33.45,32.28,33.2,2785800,0.0,0
2020-05-26,34.88,35.3,34.04,34.23,4616100,0.0,0
2020-05-27,35.35,36.36,34.35,36.33,3947500,0.0,0
2020-05-28,36.79,36.98,34.11,34.3,3688500,0.0,0
2020-05-29,34.0,35.04,33.53,33.86,5710700,0.0,0
2020-06-01,34.04,35.2,33.71,34.22,2794600,0.0,0
2020-06-02,34.29,34.76,34.14,34.64,2349100,0.0,0
2020-06-03,35.3,36.08,34.96,35.86,2818100,0.0,0
2020-06-04,35.53,36.38,34.69,34.89,3760600,0.0,0
2020-06-05,36.65,37.37,35.89,36.6,4512800,0.0,0
2020-06-08,37.2,38.64,36.07,36.55,3074100,0.0,0
2020-06-09,35.85,36.32,35.44,35.72,3430400,0.0,0
2020-06-10,35.59,36.8,34.61,36.2,4812400,0.0,0
2020-06-11,34.53,35.22,32.9,32.91,4235100,0.12,0
2020-06-12,34.54,35.14,32.85,33.89,4468600,0.0,0
