Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,91.03,92.17,89.45,90.25,599400,0,0
2020-05-14,89.27,92.0,88.6,91.97,1004500,0,0
2020-05-15,92.1,94.0,91.66,92.86,2487200,0,0
2020-05-18,92.86,94.0,90.47,93.32,1980200,0,0
2020-05-19,93.38,93.85,91.26,91.3,856700,0,0
2020-05-20,92.25,93.82,92.25,92.75,621700,0,0
2020-05-21,92.5,93.43,91.87,92.5,536400,0,0
2020-05-22,92.95,93.65,92.34,93.41,474600,0,0
2020-05-26,95.0,99.08,94.92,97.48,1416000,0,0
2020-05-27,97.65,100.23,97.3,100.02,1099100,0,0
2020-05-28,100.6,101.26,99.19,99.3,624700,0,0
2020-05-29,99.9,100.58,98.67,100.47,805300,0,0
2020-06-01,99.97,102.07,99.96,101.96,629000,0,0
2020-06-02,102.62,102.87,100.32,101.92,1106000,0,0
2020-06-03,102.0,104.72,102.0,103.86,937200,0,0
2020-06-04,103.11,103.73,102.44,103.02,548000,0,0
2020-06-05,103.8,105.7,103.08,104.4,767900,0,0
2020-06-08,103.48,105.57,103.48,105.31,861400,0,0
2020-06-09,104.92,104.92,102.39,102.44,639500,0,0
2020-06-10,102.95,103.54,102.16,103.02,728400,0,0
2020-06-11,101.28,101.28,96.48,96.51,1545800,0,0
2020-06-12,98.69,98.96,94.75,97.14,951800,0,0
