Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,83.56,84.72,82.56,82.84,3935500,0,0
2020-05-14,81.65,84.08,80.12,84.08,4389700,0,0
2020-05-15,83.16,83.98,82.0,83.28,4971900,0,0
2020-05-18,86.35,87.74,85.08,86.83,3123300,0,0
2020-05-19,86.3,87.09,84.53,84.68,3093100,0,0
2020-05-20,86.08,87.3,85.75,87.12,2519300,0,0
2020-05-21,86.48,87.47,85.95,86.4,3091900,0,0
2020-05-22,85.93,87.66,85.93,87.55,1276000,0,0
2020-05-26,90.18,90.7,88.82,90.02,2743400,0,0
2020-05-27,92.0,92.0,89.48,91.76,3045000,0,0
2020-05-28,93.0,93.34,91.24,93.05,2616900,0,0
2020-05-29,92.14,92.66,91.02,91.5,3769900,0,0
2020-06-01,91.96,94.56,91.54,93.7,2310600,0,0
2020-06-02,94.62,95.55,93.43,95.46,3143300,0,0
2020-06-03,95.81,97.72,95.5,97.32,2970000,0,0
2020-06-04,96.41,96.8,92.48,93.35,3326300,0,0
2020-06-05,96.18,97.42,95.38,95.71,3612200,0,0
2020-06-08,95.7,97.97,95.34,97.77,3536700,0,0
2020-06-09,96.33,98.21,95.73,97.33,2888800,0,0
2020-06-10,96.38,97.55,95.56,96.41,2378700,0,0
2020-06-11,93.76,94.16,90.8,90.91,4992400,0,0
2020-06-12,93.59,95.12,91.33,94.46,4247000,0,0
