Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,69.67,69.99,68.29,68.79,4541200,0,0
2020-05-14,68.5,68.57,66.85,67.96,5878300,0,0
2020-05-15,68.64,68.71,67.46,67.78,3727000,0,0
2020-05-18,69.66,69.87,68.0,68.25,6661600,0,0
2020-05-19,67.87,68.64,67.21,68.51,4830600,0,0
2020-05-20,68.79,70.52,68.08,70.47,5298200,0,0
2020-05-21,70.23,71.69,69.83,70.5,6851900,0,0
2020-05-22,70.5,70.64,69.51,70.45,2605300,0,0
2020-05-26,71.57,72.47,71.52,72.13,5627800,0,0
2020-05-27,73.5,74.1,73.0,73.91,5959800,0,0
2020-05-28,75.0,75.0,73.47,73.51,5536000,0,0
2020-05-29,72.95,73.62,71.86,73.36,7200000,0,0
2020-06-01,73.35,74.35,73.35,73.79,3309300,0,0
2020-06-02,74.33,74.33,73.2,73.73,3869800,0,0
2020-06-03,74.45,74.6,73.86,74.21,5182400,0,0
2020-06-04,74.0,75.27,73.52,75.19,4206700,0,0
2020-06-05,76.5,77.18,75.78,75.91,5395600,0,0
2020-06-08,75.46,77.78,75.1,77.7,5141100,0,0
2020-06-09,77.07,77.09,75.43,75.65,4315400,0,0
2020-06-10,76.13,76.39,75.13,75.14,4464300,0,0
2020-06-11,74.15,74.44,71.24,71.25,5981300,0,0
2020-06-12,72.63,72.77,69.89,70.42,6712300,0,0
