Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,99.5,99.66,94.83,96.79,6206100,0,0
2020-05-14,94.48,99.0,93.27,97.84,5234200,0,0
2020-05-15,96.98,98.91,95.89,97.25,2649600,0,0
2020-05-18,101.0,104.84,100.11,104.06,3579700,0,0
2020-05-19,103.45,104.5,101.0,101.13,3238000,0,0
2020-05-20,102.99,105.43,102.71,104.4,2671900,0,0
2020-05-21,102.97,105.47,102.67,103.19,2463200,0,0
2020-05-22,103.54,104.86,102.59,104.61,3242200,0,0
2020-05-26,109.4,111.65,108.93,109.56,4167400,0,0
2020-05-27,118.0,118.0,112.3,116.6,4416500,0,0
2020-05-28,117.6,117.65,114.31,115.8,2998500,0,0
2020-05-29,113.54,116.14,113.27,114.04,3666600,0,0
2020-06-01,114.79,116.0,113.61,114.67,1837300,0,0
2020-06-02,116.21,116.5,113.43,114.86,3016600,0,0
2020-06-03,119.16,121.48,118.38,119.71,4601000,0,0
2020-06-04,119.58,123.26,118.07,122.72,3553100,0,0
2020-06-05,130.99,132.58,126.03,128.03,4804700,0,0
2020-06-08,130.65,132.37,129.76,131.13,4019600,0,0
2020-06-09,126.19,127.76,124.63,126.19,3455900,0,0
2020-06-10,125.07,125.69,118.6,118.93,3630800,0,0
2020-06-11,112.17,114.23,107.29,107.51,4163100,0,0
2020-06-12,113.01,113.21,107.76,110.76,3730900,0,0
