Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,32.97,33.31,32.25,32.69,1268100,0,0
2020-05-14,32.05,33.41,31.5,33.41,1284100,0,0
2020-05-15,33.31,33.88,33.01,33.49,865800,0,0
2020-05-18,34.97,36.1,34.91,35.66,1111800,0,0
2020-05-19,35.55,35.98,35.13,35.22,726300,0,0
2020-05-20,35.74,36.32,35.65,35.91,878100,0,0
2020-05-21,35.8,36.38,35.8,36.22,867500,0,0
2020-05-22,36.33,36.51,36.08,36.48,638400,0,0
2020-05-26,37.82,39.43,37.74,39.08,966900,0,0
2020-05-27,39.97,40.97,39.83,40.26,1710600,0,0
2020-05-28,40.82,40.83,39.25,39.32,1764200,0,0
2020-05-29,39.14,39.65,38.68,39.14,2076100,0,0
2020-06-01,39.32,39.87,38.96,38.98,1025800,0,0
2020-06-02,39.41,39.85,38.87,39.03,1256100,0,0
2020-06-03,39.67,40.65,39.57,40.45,1525800,0,0
2020-06-04,40.13,41.12,39.84,41.09,952100,0,0
2020-06-05,42.78,43.37,41.67,41.86,1126800,0,0
2020-06-08,42.12,42.78,41.72,42.02,1556600,0,0
2020-06-09,41.26,41.41,40.23,40.37,1264500,0,0
2020-06-10,40.3,40.67,39.2,39.9,1254000,0,0
2020-06-11,38.33,38.4,36.77,36.86,974500,0,0
2020-06-12,38.29,38.41,36.43,37.5,925600,0,0
