Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,87.01,87.48,83.6,84.24,1488800,0,0
2020-05-14,82.64,86.03,81.43,85.97,2149700,0,0
2020-05-15,85.32,86.93,84.6,86.92,1889300,0,0
2020-05-18,90.86,92.63,89.95,91.85,1601800,0,0
2020-05-19,91.31,94.19,90.35,93.22,2714200,0,0
2020-05-20,94.64,96.32,94.64,95.99,2277700,0,0
2020-05-21,95.6,96.44,94.61,95.09,3132800,0,0
2020-05-22,95.14,96.24,94.48,96.18,1046400,0,0
2020-05-26,99.72,101.34,99.21,100.0,1696800,0,0
2020-05-27,102.61,104.29,101.73,102.35,1998600,0,0
2020-05-28,103.16,103.18,100.92,102.64,2030300,0,0
2020-05-29,102.0,102.44,100.56,101.67,2831600,0,0
2020-06-01,101.74,103.56,101.16,103.37,1659800,0,0
2020-06-02,103.79,107.94,103.76,107.52,2752200,0,0
2020-06-03,109.16,112.76,108.52,111.68,2728800,0,0
2020-06-04,110.06,111.7,109.49,111.12,1710500,0,0
2020-06-05,114.5,116.45,113.61,113.95,2057200,0,0
2020-06-08,114.86,116.38,112.65,113.4,1522500,0,0
2020-06-09,111.89,112.17,109.72,111.42,1559500,0,0
2020-06-10,111.33,111.63,108.33,109.04,1826200,0,0
2020-06-11,105.77,105.77,99.3,99.56,2452500,0,0
2020-06-12,102.59,104.37,100.17,101.63,1224600,0,0
