Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,52.67,52.97,51.33,51.95,1083800,0.0,0
2020-05-14,51.62,51.78,50.57,51.78,935100,0.0,0
2020-05-15,51.54,52.58,50.86,52.55,1192900,0.0,0
2020-05-18,53.82,55.16,53.55,54.74,811600,0.0,0
2020-05-19,54.53,55.42,54.45,54.82,621000,0.0,0
2020-05-20,55.13,55.94,54.65,54.86,1015700,0.0,0
2020-05-21,54.5,54.96,53.86,54.11,500000,0.0,0
2020-05-22,54.12,54.37,53.63,54.06,372300,0.0,0
2020-05-26,55.25,56.11,54.58,54.65,555700,0.0,0
2020-05-27,54.65,55.41,54.01,55.31,888900,0.0,0
2020-05-28,55.53,56.26,54.92,55.03,538900,0.225,0
2020-05-29,55.11,55.5,53.24,54.77,1245300,0.0,0
2020-06-01,54.46,55.87,54.39,55.44,645200,0.0,0
2020-06-02,54.78,56.48,54.42,56.38,710100,0.0,0
2020-06-03,56.75,57.58,55.49,55.54,851600,0.0,0
2020-06-04,54.98,55.84,54.61,55.23,964900,0.0,0
2020-06-05,55.87,56.82,55.29,55.61,886100,0.0,0
2020-06-08,55.62,58.26,55.62,57.73,944100,0.0,0
2020-06-09,57.6,57.82,55.91,55.96,923700,0.0,0
2020-06-10,56.27,56.35,53.4,53.45,1442900,0.0,0
2020-06-11,52.37,52.64,50.9,51.22,865700,0.0,0
2020-06-12,52.56,54.09,50.31,51.49,1898200,0.0,0
