Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,52.68,52.91,50.0,50.37,3847000,0.0,0
2020-05-14,49.16,52.46,47.59,52.36,3204500,0.0,0
2020-05-15,51.64,52.73,50.84,51.92,2547700,0.0,0
2020-05-18,54.78,56.52,54.45,56.03,2643200,0.0,0
2020-05-19,55.71,55.87,53.9,53.93,2347900,0.0,0
2020-05-20,55.04,56.06,54.93,55.48,2268400,0.0,0
2020-05-21,54.97,56.86,54.97,56.57,2815800,0.0,0
2020-05-22,56.6,56.93,54.87,56.28,3307800,1.1,0
2020-05-26,59.49,61.58,58.93,60.46,4561400,0.0,0
2020-05-27,64.0,64.96,62.02,63.2,3499600,0.0,0
2020-05-28,64.27,64.33,61.63,61.85,2497100,0.0,0
2020-05-29,60.68,61.98,60.11,60.96,4599400,0.0,0
2020-06-01,60.78,61.4,59.66,60.88,3798600,0.0,0
2020-06-02,59.76,61.59,59.76,60.96,6232000,0.0,0
2020-06-03,62.96,64.11,62.72,63.71,5487400,0.0,0
2020-06-04,63.33,65.53,62.64,65.46,5616500,0.0,0
2020-06-05,70.98,71.45,68.27,69.23,5575800,0.0,0
2020-06-08,71.37,74.76,70.29,74.73,5548500,0.0,0
2020-06-09,72.0,72.67,70.75,71.76,3426500,0.0,0
2020-06-10,71.0,71.07,67.88,67.88,3539600,0.0,0
2020-06-11,63.1,64.22,60.06,60.35,4916100,0.0,0
2020-06-12,63.77,63.83,61.16,63.16,2729100,0.0,0
