Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,176.06,178.14,174.34,174.8,1081500,0.0,0
2020-05-14,173.21,177.17,170.35,177.17,1023400,0.0,0
2020-05-15,174.94,175.06,171.39,174.17,1404400,0.0,0
2020-05-18,178.15,183.56,177.85,181.49,1083400,0.0,0
2020-05-19,180.32,182.58,179.67,181.71,725100,0.0,0
2020-05-20,182.88,183.52,179.48,182.04,949500,0.0,0
2020-05-21,181.26,182.44,179.9,180.9,561000,0.0,0
2020-05-22,182.14,184.66,181.13,184.57,622000,0.0,0
2020-05-26,188.39,191.24,186.92,190.52,1100600,0.0,0
2020-05-27,191.28,195.71,191.28,194.96,885600,0.0,0
2020-05-28,196.51,199.26,194.99,199.14,756900,0.0,0
2020-05-29,198.03,202.05,196.13,200.67,1202900,0.0,0
2020-06-01,200.19,204.13,198.63,202.68,1236800,0.0,0
2020-06-02,205.19,206.94,201.52,205.62,1193400,0.0,0
2020-06-03,206.53,211.43,205.38,205.84,1189600,0.0,0
2020-06-04,204.77,205.37,196.9,198.59,901200,0.0,0
2020-06-05,203.89,205.54,201.35,204.26,1135400,0.0,0
2020-06-08,204.47,208.79,203.01,204.57,1161500,0.0,0
2020-06-09,202.58,209.52,200.06,209.21,901700,0.0,0
2020-06-10,208.2,209.58,203.29,203.37,879000,0.0,0
2020-06-11,199.0,200.52,192.6,193.93,1306500,0.0,0
2020-06-12,198.32,199.01,191.59,196.47,916900,2.0,0
