Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,41.23,41.23,38.13,39.52,1801500,0,0
2020-05-14,38.0,41.24,36.34,41.23,1739500,0,0
2020-05-15,40.14,42.13,39.36,40.21,1619800,0,0
2020-05-18,43.37,45.57,42.94,44.48,1981100,0,0
2020-05-19,43.94,44.46,41.39,41.65,1569900,0,0
2020-05-20,42.35,43.58,41.78,41.99,1707900,0,0
2020-05-21,42.17,44.9,40.51,44.31,2129600,0,0
2020-05-22,44.5,45.2,43.26,44.15,1276300,0,0
2020-05-26,47.75,50.29,47.5,49.83,2172800,0,0
2020-05-27,52.78,55.31,51.59,53.85,2647600,0,0
2020-05-28,53.97,54.2,49.03,49.56,1946400,0,0
2020-05-29,48.44,48.44,44.92,45.47,7496100,0,0
2020-06-01,45.5,49.06,45.4,47.62,1588900,0,0
2020-06-02,48.6,50.17,47.86,49.61,1289700,0,0
2020-06-03,51.42,55.43,51.19,55.01,2112800,0,0
2020-06-04,54.53,57.48,52.57,57.13,2191800,0,0
2020-06-05,62.84,64.44,61.65,62.75,2233200,0,0
2020-06-08,64.37,69.81,63.6,69.46,2913500,0,0
2020-06-09,66.05,66.45,61.81,63.58,2169700,0,0
2020-06-10,62.39,62.58,59.05,59.61,1902100,0,0
2020-06-11,53.8,55.94,52.22,52.72,2609500,0,0
2020-06-12,54.0,54.88,46.17,49.61,5810800,0,0
