Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,31.56,31.83,29.92,30.33,2306600,0,0
2020-05-14,29.7,30.96,28.71,30.91,1642500,0,0
2020-05-15,30.57,31.56,30.32,31.34,1192300,0,0
2020-05-18,32.74,33.67,32.41,33.39,1341200,0,0
2020-05-19,33.17,33.81,32.63,33.0,1195700,0,0
2020-05-20,33.62,33.97,33.31,33.54,1324000,0,0
2020-05-21,33.5,34.06,33.32,33.85,1400000,0,0
2020-05-22,33.82,34.28,33.82,34.25,1034100,0,0
2020-05-26,35.39,36.48,35.25,36.28,1142600,0,0
2020-05-27,37.17,37.69,36.51,37.28,1684200,0,0
2020-05-28,37.95,37.99,36.54,36.61,1146600,0,0
2020-05-29,36.16,37.13,35.88,36.93,1344000,0,0
2020-06-01,36.98,38.12,36.77,37.93,2369100,0,0
2020-06-02,38.36,39.72,38.3,39.6,2925700,0,0
2020-06-03,40.0,40.84,39.92,40.39,1881200,0,0
2020-06-04,40.09,41.02,39.74,41.02,1587800,0,0
2020-06-05,41.99,42.99,41.99,42.39,1957600,0,0
2020-06-08,42.77,43.51,42.69,43.31,1286200,0,0
2020-06-09,42.4,42.45,41.47,41.53,962300,0,0
2020-06-10,41.49,41.49,39.62,39.67,1714800,0,0
2020-06-11,38.28,38.63,36.73,36.79,1417900,0,0
2020-06-12,38.31,38.43,35.98,37.05,1332900,0,0
