Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,83.91,84.44,78.47,79.38,3468900,0,0
2020-05-14,77.57,84.0,76.48,82.21,2741500,0,0
2020-05-15,81.58,85.16,81.58,82.86,1899500,0,0
2020-05-18,88.16,94.23,87.52,93.38,3951600,0,0
2020-05-19,93.66,94.47,89.56,89.65,2438600,0,0
2020-05-20,91.47,92.86,90.9,92.43,2667400,0,0
2020-05-21,93.0,93.69,91.78,92.93,2505800,0,0
2020-05-22,91.85,92.97,91.08,92.42,1916000,0,0
2020-05-26,96.73,96.73,93.35,93.72,1910600,0,0
2020-05-27,95.43,95.65,91.26,94.19,2178900,0,0
2020-05-28,93.87,96.66,91.91,92.54,1940200,0,0
2020-05-29,91.64,92.47,89.84,91.6,1915000,0,0
2020-06-01,91.6,93.67,90.5,92.91,2201900,0,0
2020-06-02,94.6,96.35,93.36,96.16,2168900,0,0
2020-06-03,98.89,100.97,96.61,100.77,2488600,0,0
2020-06-04,99.95,104.09,98.29,103.55,3059200,0,0
2020-06-05,109.92,111.47,106.8,110.89,3129800,0,0
2020-06-08,116.22,116.81,111.27,116.78,3166500,0,0
2020-06-09,109.89,110.37,104.94,108.53,3090900,0,0
2020-06-10,106.51,106.8,102.72,102.73,4076300,0,0
2020-06-11,95.0,101.52,93.51,96.64,4641200,0,0
2020-06-12,101.8,102.66,95.07,98.23,2260300,0,0
