Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,36.98,37.01,33.4,34.53,22563500,0,0
2020-05-14,33.0,35.87,31.41,35.15,22829500,0,0
2020-05-15,34.4,38.27,34.37,37.45,18249400,0,0
2020-05-18,41.2,44.98,41.2,43.7,29413800,0,0
2020-05-19,43.76,44.31,40.92,42.15,17966900,0,0
2020-05-20,43.2,43.62,39.71,40.73,22451000,0,0
2020-05-21,41.2,45.07,40.35,43.35,28093800,0,0
2020-05-22,44.65,45.4,42.02,43.14,15272600,0,0
2020-05-26,47.11,50.36,46.67,49.56,27211800,0,0
2020-05-27,54.14,55.32,49.3,54.29,31922200,0,0
2020-05-28,53.44,54.7,51.33,51.7,21502300,0,0
2020-05-29,50.0,52.82,49.09,51.87,19136700,0,0
2020-06-01,52.0,56.07,51.56,55.64,19886400,0,0
2020-06-02,57.26,58.44,55.39,56.0,18216000,0,0
2020-06-03,54.7,58.8,54.6,58.11,18385800,0,0
2020-06-04,57.45,60.32,55.58,57.69,33102100,0,0
2020-06-05,64.86,74.59,64.6,69.44,61286500,0,0
2020-06-08,75.06,75.55,70.1,75.12,32661300,0,0
2020-06-09,70.83,71.72,66.63,69.91,22273600,0,0
2020-06-10,67.84,67.84,60.8,63.59,25167000,0,0
2020-06-11,56.02,60.0,54.07,54.51,29730900,0,0
2020-06-12,60.6,62.7,57.0,61.18,25944800,0,0
