Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,168.97,168.97,161.6,162.98,491100,0.0,0
2020-05-14,159.67,162.76,156.13,160.5,470700,0.0,0
2020-05-15,158.69,168.53,156.16,167.67,1087600,0.0,0
2020-05-18,174.3,180.29,173.58,179.0,741700,0.0,0
2020-05-19,178.96,187.7,178.01,184.96,675000,0.0,0
2020-05-20,187.38,199.51,186.9,197.73,760300,0.0,0
2020-05-21,196.81,204.82,196.61,204.46,571100,0.0,0
2020-05-22,203.71,204.53,199.49,204.13,376000,0.0,0
2020-05-26,213.49,213.49,202.85,203.32,540000,1.55,0
2020-05-27,210.31,210.31,199.19,203.06,637400,0.0,0
2020-05-28,205.59,207.25,202.15,204.51,342400,0.0,0
2020-05-29,202.18,202.18,196.06,198.41,535400,0.0,0
2020-06-01,198.54,199.18,193.49,193.77,439700,0.0,0
2020-06-02,194.71,207.75,192.09,206.05,539100,0.0,0
2020-06-03,209.84,215.97,209.02,213.26,564600,0.0,0
2020-06-04,212.88,217.69,209.29,217.13,533400,0.0,0
2020-06-05,229.56,230.17,221.24,226.15,455200,0.0,0
2020-06-08,228.37,231.26,225.9,231.07,342200,0.0,0
2020-06-09,226.09,229.45,224.37,227.46,346500,0.0,0
2020-06-10,225.28,226.67,220.46,221.69,426800,0.0,0
2020-06-11,212.54,218.52,209.26,211.0,658600,0.0,0
2020-06-12,219.78,219.8,209.31,214.95,477400,0.0,0
