Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,560.65,581.78,558.51,577.12,1058900,0,0
2020-05-14,577.18,580.77,565.6,570.86,702300,0,0
2020-05-15,566.78,577.0,563.08,576.72,865700,0,0
2020-05-18,582.0,583.54,558.89,560.28,962800,0,0
2020-05-19,561.0,569.5,557.6,557.6,737900,0,0
2020-05-20,562.07,580.55,561.39,576.89,840800,0,0
2020-05-21,577.51,578.34,556.68,560.98,812600,0,0
2020-05-22,558.12,574.19,558.12,569.91,653500,0,0
2020-05-26,548.54,556.13,534.25,545.21,3742000,0,0
2020-05-27,538.7,555.53,522.02,544.01,5902600,0,0
2020-05-28,547.5,583.03,546.13,578.21,7869500,0,0
2020-05-29,580.7,615.36,571.52,612.81,6675900,0,0
2020-06-01,605.0,610.0,597.62,599.47,1579300,0,0
2020-06-02,602.2,618.71,591.67,617.66,1511500,0,0
2020-06-03,615.37,616.68,589.6,604.28,1541000,0,0
2020-06-04,596.99,610.99,592.79,598.54,851800,0,0
2020-06-05,585.0,600.14,578.43,597.0,1324100,0,0
2020-06-08,587.88,605.26,579.6,604.04,964700,0,0
2020-06-09,603.49,611.56,601.89,608.59,849900,0,0
2020-06-10,613.03,617.37,603.0,606.59,925500,0,0
2020-06-11,621.0,625.79,592.32,596.16,1515800,0,0
2020-06-12,616.01,619.68,583.14,588.39,1229400,0,0
