Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,9.12,9.18,8.61,8.81,14005600,0.0,0
2020-05-14,8.52,9.36,8.3,9.22,16513000,0.0,0
2020-05-15,9.08,9.25,8.9,9.07,9178000,0.0,0
2020-05-18,9.57,9.98,9.5,9.9,10776500,0.0,0
2020-05-19,9.75,9.9,9.47,9.52,9639400,0.0,0
2020-05-20,9.74,9.99,9.72,9.92,9019100,0.0,0
2020-05-21,9.87,10.15,9.79,9.81,7991500,0.0,0
2020-05-22,9.85,10.01,9.64,9.82,6788200,0.0,0
2020-05-26,10.36,11.05,10.29,10.82,13327600,0.0,0
2020-05-27,11.46,11.85,11.21,11.83,15820400,0.0,0
2020-05-28,12.01,12.07,11.31,11.36,12227400,0.0,0
2020-05-29,11.06,11.36,10.94,11.17,19646300,0.0,0
2020-06-01,11.21,11.48,11.12,11.34,8730400,0.0,0
2020-06-02,11.56,11.8,11.4,11.55,10844500,0.0,0
2020-06-03,11.95,12.33,11.85,12.16,11358900,0.0,0
2020-06-04,12.14,12.93,11.97,12.93,14367300,0.155,0
2020-06-05,14.0,14.25,13.18,13.33,14606200,0.0,0
2020-06-08,13.78,13.98,13.49,13.84,8903500,0.0,0
2020-06-09,13.22,13.64,13.03,13.46,10772500,0.0,0
2020-06-10,13.26,13.32,12.62,12.66,11739000,0.0,0
2020-06-11,11.62,12.07,11.33,11.4,11101700,0.0,0
2020-06-12,12.15,12.15,11.39,11.9,11041600,0.0,0
