Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,44.22,44.22,42.92,43.24,1272400,0.0,0
2020-05-14,42.55,44.31,41.53,44.3,1282800,0.0,0
2020-05-15,43.87,45.23,43.87,44.82,1485200,0.0,0
2020-05-18,46.57,48.56,46.48,48.23,1193100,0.0,0
2020-05-19,47.39,48.74,47.39,47.83,965600,0.0,0
2020-05-20,48.32,49.93,48.32,48.65,910700,0.0,0
2020-05-21,49.08,49.56,48.08,48.16,764200,0.0,0
2020-05-22,48.11,48.31,47.32,47.41,999900,0.34,0
2020-05-26,48.85,51.55,48.85,50.57,1839100,0.0,0
2020-05-27,51.75,52.43,51.11,51.78,1113500,0.0,0
2020-05-28,52.37,52.45,51.11,51.43,993200,0.0,0
2020-05-29,50.89,51.24,49.71,50.74,1624800,0.0,0
2020-06-01,50.89,52.32,50.85,51.83,1028000,0.0,0
2020-06-02,52.32,53.34,52.06,53.18,985900,0.0,0
2020-06-03,54.23,55.3,53.95,55.1,1677300,0.0,0
2020-06-04,54.66,56.61,54.59,55.86,1779100,0.0,0
2020-06-05,57.98,60.06,57.62,57.89,2519400,0.0,0
2020-06-08,58.39,60.14,58.39,59.92,1730800,0.0,0
2020-06-09,58.79,58.79,57.27,57.81,1261400,0.0,0
2020-06-10,57.71,57.71,55.36,55.46,1099000,0.0,0
2020-06-11,53.18,53.53,51.07,51.11,1330000,0.0,0
2020-06-12,53.2,53.55,50.27,51.29,1216900,0.0,0
