Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,62.85,63.46,58.87,59.37,901700,0,0
2020-05-14,57.88,62.19,56.56,62.02,1222700,0,0
2020-05-15,61.2,62.6,60.07,61.04,2815400,0,0
2020-05-18,62.35,65.69,62.35,64.96,1241900,0,0
2020-05-19,64.48,65.55,62.77,62.86,887100,0,0
2020-05-20,63.95,66.52,63.95,65.81,1025000,0,0
2020-05-21,65.45,65.74,64.54,64.78,1025500,0,0
2020-05-22,64.78,65.92,63.91,65.21,861500,0,0
2020-05-26,68.44,71.27,67.36,70.34,1058800,0,0
2020-05-27,73.14,73.8,71.19,72.98,1062100,0,0
2020-05-28,74.19,74.43,70.42,70.69,623000,0,0
2020-05-29,69.74,70.51,68.48,69.28,681900,0,0
2020-06-01,69.8,71.62,69.36,71.19,1053600,0,0
2020-06-02,72.29,73.64,71.98,73.0,1040400,0,0
2020-06-03,75.33,77.37,74.5,77.23,1527100,0,0
2020-06-04,76.85,79.27,76.18,79.27,1828800,0,0
2020-06-05,85.0,85.82,81.22,81.34,2384100,0,0
2020-06-08,82.74,83.45,80.83,81.04,1613900,0,0
2020-06-09,80.0,82.31,79.01,81.66,1106100,0,0
2020-06-10,81.47,81.64,75.73,76.37,894100,0,0
2020-06-11,72.08,73.99,70.11,70.26,918900,0,0
2020-06-12,73.8,73.8,69.19,71.6,849300,0,0
