Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,187.15,190.35,182.91,185.86,1044400,0.0,0
2020-05-14,183.02,190.3,182.69,189.99,1490200,0.0,0
2020-05-15,188.66,202.8,188.39,197.87,3215900,1.02,0
2020-05-18,202.0,209.49,201.29,205.17,1514400,0.0,0
2020-05-19,204.19,207.26,202.6,202.63,989100,0.0,0
2020-05-20,205.04,206.57,203.8,206.04,840000,0.0,0
2020-05-21,205.88,206.25,203.31,203.73,789700,0.0,0
2020-05-22,204.22,204.23,200.56,202.19,736500,0.0,0
2020-05-26,210.0,217.55,207.75,215.9,1667900,0.0,0
2020-05-27,218.34,220.51,214.02,219.24,1399200,0.0,0
2020-05-28,220.0,221.31,216.02,216.4,1096000,0.0,0
2020-05-29,215.17,216.75,212.64,216.16,2935600,0.0,0
2020-06-01,216.45,217.16,213.75,214.67,725300,0.0,0
2020-06-02,216.2,217.88,215.03,217.59,666200,0.0,0
2020-06-03,218.0,222.61,217.62,220.3,830600,0.0,0
2020-06-04,218.53,222.66,218.04,222.49,772300,0.0,0
2020-06-05,225.0,230.71,224.98,227.39,1043900,0.0,0
2020-06-08,228.0,229.21,224.12,225.57,649600,0.0,0
2020-06-09,221.99,223.27,219.41,220.04,1099900,0.0,0
2020-06-10,220.0,220.9,217.86,218.14,1903200,0.0,0
2020-06-11,211.46,213.38,205.67,206.06,994100,0.0,0
2020-06-12,213.09,213.43,202.07,208.19,871100,0.0,0
