Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,356.44,360.93,347.28,352.59,765300,0,0
2020-05-14,349.93,357.84,344.76,357.49,692500,0,0
2020-05-15,353.5,363.12,352.24,361.5,1201700,0,0
2020-05-18,372.8,374.38,365.81,366.34,699800,0,0
2020-05-19,365.26,367.2,357.75,357.75,536900,0,0
2020-05-20,364.03,370.96,361.66,367.88,447700,0,0
2020-05-21,367.03,370.4,363.62,365.06,290000,0,0
2020-05-22,364.61,367.1,362.94,367.06,322000,0,0
2020-05-26,377.7,377.9,369.01,370.29,559900,0,0
2020-05-27,375.0,380.0,368.97,379.2,571700,0,0
2020-05-28,380.0,388.54,376.76,381.73,567400,0,0
2020-05-29,380.53,394.95,379.15,393.8,1057200,0,0
2020-06-01,392.93,393.31,387.47,387.77,412700,0,0
2020-06-02,389.68,396.62,389.36,395.62,358700,0,0
2020-06-03,400.0,404.23,395.9,401.47,500800,0,0
2020-06-04,397.45,404.64,395.0,402.24,437900,0,0
2020-06-05,409.0,410.41,401.71,405.83,660400,0,0
2020-06-08,404.25,406.79,398.62,401.9,698000,0,0
2020-06-09,397.96,406.11,394.11,402.13,645100,0,0
2020-06-10,404.63,405.1,397.49,401.22,491100,0,0
2020-06-11,393.32,401.22,390.46,392.3,903200,0,0
2020-06-12,401.16,402.07,382.23,389.81,752800,0,0
