Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,79.95,80.64,78.6,79.17,1156900,0,0
2020-05-14,78.48,80.0,77.8,79.99,1419700,0,0
2020-05-15,79.22,79.71,78.4,79.47,2297200,0,0
2020-05-18,81.81,82.83,81.03,82.21,1292100,0,0
2020-05-19,81.82,82.53,80.96,81.01,1239200,0,0
2020-05-20,81.53,82.65,81.1,81.71,715900,0,0
2020-05-21,80.92,82.15,80.57,80.81,677700,0,0
2020-05-22,81.09,81.2,80.44,81.12,591100,0,0
2020-05-26,82.43,83.49,82.11,82.77,1083300,0,0
2020-05-27,83.8,84.01,82.01,83.97,1880000,0,0
2020-05-28,84.88,85.49,83.94,84.89,1096700,0,0
2020-05-29,85.11,86.14,84.34,85.46,1878400,0,0
2020-06-01,85.47,85.59,84.74,85.05,767300,0,0
2020-06-02,85.13,87.32,84.51,86.63,1450700,0,0
2020-06-03,87.45,87.91,87.0,87.27,1089600,0,0
2020-06-04,86.77,87.19,85.72,86.84,1103200,0,0
2020-06-05,88.5,90.16,87.83,89.91,1604900,0,0
2020-06-08,89.54,90.2,89.12,89.81,1227900,0,0
2020-06-09,88.76,89.2,87.21,87.82,952900,0,0
2020-06-10,88.15,88.15,85.88,86.65,1242300,0,0
2020-06-11,84.94,84.99,81.54,81.66,1199300,0,0
2020-06-12,83.09,83.86,80.26,81.73,1296700,0,0
