Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,288.27,293.78,282.84,283.64,789400,0.0,0
2020-05-14,278.42,284.69,278.42,282.48,682000,0.0,0
2020-05-15,281.84,284.99,275.92,283.65,596300,0.0,0
2020-05-18,291.65,292.22,284.01,288.87,847300,0.0,0
2020-05-19,284.69,292.87,283.6,283.85,473500,0.0,0
2020-05-20,286.44,289.89,278.56,283.3,505400,0.0,0
2020-05-21,280.27,283.88,279.05,280.84,495500,0.0,0
2020-05-22,281.8,290.13,279.08,289.5,858600,0.0,0
2020-05-26,293.15,296.13,285.38,293.02,771600,0.0,0
2020-05-27,293.02,303.0,289.95,302.89,639400,0.465,0
2020-05-28,304.0,313.46,303.81,310.69,564500,0.0,0
2020-05-29,310.81,315.01,306.02,314.13,727300,0.0,0
2020-06-01,314.68,320.77,311.69,317.68,715700,0.0,0
2020-06-02,314.35,319.98,314.15,318.26,609600,0.0,0
2020-06-03,312.33,323.02,312.33,314.95,606200,0.0,0
2020-06-04,312.19,314.99,298.85,300.59,864100,0.0,0
2020-06-05,312.68,312.68,294.81,297.18,1385200,0.0,0
2020-06-08,295.5,298.75,293.19,294.64,1122800,0.0,0
2020-06-09,299.63,309.68,294.08,308.25,875200,0.0,0
2020-06-10,307.66,311.32,300.79,306.12,583500,0.0,0
2020-06-11,306.09,306.09,289.53,290.0,1060400,0.0,0
2020-06-12,294.95,298.97,292.46,297.37,596900,0.0,0
