Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,74.46,75.75,72.92,73.62,11532700,0,0
2020-05-14,72.32,74.29,70.65,74.19,11932300,0,0
2020-05-15,72.81,74.64,72.67,74.16,9489100,0,0
2020-05-18,76.86,77.5,76.2,76.23,8912500,0,0
2020-05-19,76.4,77.22,75.76,75.86,6484900,0,0
2020-05-20,77.23,77.84,76.52,77.76,7790500,0,0
2020-05-21,78.6,79.38,77.89,78.05,10312600,0,0
2020-05-22,77.9,78.05,76.52,77.62,7653300,0,0
2020-05-26,79.6,79.92,77.58,77.76,8422200,0,0
2020-05-27,78.98,78.98,77.39,78.6,8245300,0,0
2020-05-28,78.64,80.06,77.93,78.54,8331400,0,0
2020-05-29,78.62,78.64,77.26,77.99,10109000,0,0
2020-06-01,77.66,78.65,76.77,78.32,7922000,0,0
2020-06-02,77.97,78.26,76.79,77.78,9521000,0,0
2020-06-03,78.45,79.95,78.3,79.58,9956700,0,0
2020-06-04,79.31,80.17,78.47,78.74,7667600,0,0
2020-06-05,80.33,82.33,79.97,82.14,12030800,0,0
2020-06-08,83.08,83.62,82.18,83.56,10229600,0,0
2020-06-09,82.62,83.22,81.76,82.37,7999800,0,0
2020-06-10,79.88,80.03,78.2,79.01,19683800,0,0
2020-06-11,75.75,76.79,72.15,72.57,26422200,0,0
2020-06-12,75.0,76.72,73.81,76.38,18521600,0,0
