Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,34.04,34.15,32.62,33.15,10168100,0,0
2020-05-14,32.23,33.5,31.89,33.4,10143000,0,0
2020-05-15,32.87,33.24,32.44,32.56,6780900,0,0
2020-05-18,33.86,34.59,33.04,34.21,15301000,0,0
2020-05-19,34.0,34.3,32.97,32.99,7009100,0,0
2020-05-20,33.0,33.94,32.78,33.69,8876200,0,0
2020-05-21,33.24,33.66,32.9,33.22,7426300,0,0
2020-05-22,33.09,33.23,32.44,32.83,7300200,0,0
2020-05-26,34.2,34.96,34.03,34.5,14756000,0,0
2020-05-27,36.2,37.09,35.81,37.09,13261300,0,0
2020-05-28,37.56,37.63,35.91,36.01,8760900,0,0
2020-05-29,35.42,36.07,35.22,35.91,14247600,0,0
2020-06-01,36.04,36.63,35.94,36.51,7469800,0,0
2020-06-02,37.0,37.53,36.76,37.14,6232800,0,0
2020-06-03,38.3,39.65,38.1,39.51,9672100,0,0
2020-06-04,40.02,41.72,39.15,41.68,26855900,0,0
2020-06-05,44.71,45.86,42.71,42.82,20489900,0,0
2020-06-08,43.01,43.27,41.32,41.82,12200400,0,0
2020-06-09,40.65,41.09,40.09,40.18,11529200,0,0
2020-06-10,39.65,39.95,38.04,38.12,11641200,0,0
2020-06-11,36.54,37.57,36.08,36.16,11348300,0,0
2020-06-12,37.65,37.7,35.44,36.56,15665900,0,0
