Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,29.03,29.18,27.66,28.08,1574500,0.0,0
2020-05-14,27.76,29.29,26.92,29.23,1315400,0.0,0
2020-05-15,29.06,29.36,28.41,28.62,1483100,0.0,0
2020-05-18,29.48,30.79,29.48,30.31,1276800,0.0,0
2020-05-19,30.14,30.61,29.62,29.8,797200,0.0,0
2020-05-20,30.19,30.71,29.76,29.89,938300,0.0,0
2020-05-21,30.06,30.36,29.79,29.86,725600,0.0,0
2020-05-22,29.87,29.98,29.36,29.66,467000,0.0,0
2020-05-26,30.81,31.94,30.39,31.72,1006100,0.0,0
2020-05-27,32.3,32.97,32.23,32.66,1081000,0.0,0
2020-05-28,33.33,33.33,31.94,32.01,718800,0.0,0
2020-05-29,31.84,32.05,31.03,31.95,1394100,0.0,0
2020-06-01,32.04,32.43,31.92,32.28,795300,0.0,0
2020-06-02,32.51,32.68,32.14,32.3,849600,0.0,0
2020-06-03,32.73,33.81,32.56,33.46,902000,0.0,0
2020-06-04,33.29,33.85,33.07,33.84,754900,0.16,0
2020-06-05,34.86,36.07,34.86,35.13,1164000,0.0,0
2020-06-08,35.3,36.15,34.54,34.93,1773600,0.0,0
2020-06-09,34.43,34.54,33.56,33.78,640100,0.0,0
2020-06-10,33.67,33.67,31.94,32.32,998400,0.0,0
2020-06-11,31.23,31.38,30.06,30.2,2362600,0.0,0
2020-06-12,31.41,31.64,29.83,30.58,903900,0.0,0
