Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,168.28,169.3,158.22,159.89,847900,0,0
2020-05-14,155.79,173.84,152.76,173.28,706200,0,0
2020-05-15,169.39,174.83,168.01,172.79,524300,0,0
2020-05-18,182.87,188.32,180.59,187.46,574300,0,0
2020-05-19,186.45,189.26,182.91,183.13,379500,0,0
2020-05-20,189.41,195.84,188.05,194.92,492600,0,0
2020-05-21,192.04,195.37,190.0,190.85,364000,0,0
2020-05-22,189.98,191.63,185.89,189.49,269500,0,0
2020-05-26,198.79,209.93,195.11,208.66,600400,0,0
2020-05-27,218.32,224.19,211.6,221.38,742800,0,0
2020-05-28,224.87,225.0,214.0,215.6,547900,0,0
2020-05-29,213.69,216.94,210.59,214.75,893600,0,0
2020-06-01,213.41,216.8,210.52,212.81,502900,0,0
2020-06-02,216.0,216.32,208.0,209.9,365700,0,0
2020-06-03,215.0,223.0,210.48,219.99,539400,0,0
2020-06-04,219.1,224.89,216.01,223.19,558200,0,0
2020-06-05,240.15,242.97,231.39,235.2,693300,0,0
2020-06-08,240.0,244.03,234.11,236.04,620100,0,0
2020-06-09,231.46,236.88,227.27,234.31,413800,0,0
2020-06-10,230.71,232.64,221.69,221.81,386600,0,0
2020-06-11,205.91,212.56,203.49,203.94,577600,0,0
2020-06-12,214.01,214.01,200.5,208.53,377100,0,0
