Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,120.78,121.78,117.95,119.07,643900,0.0,0
2020-05-14,117.04,123.0,114.66,122.88,670100,0.0,0
2020-05-15,121.99,124.5,120.16,121.95,1250200,0.0,0
2020-05-18,126.71,134.07,126.01,133.3,667100,0.0,0
2020-05-19,132.68,136.01,130.92,131.79,574000,0.0,0
2020-05-20,133.99,136.67,133.43,133.72,549600,1.08,0
2020-05-21,133.18,135.15,132.7,132.87,353900,0.0,0
2020-05-22,133.65,133.65,128.34,128.88,602600,0.0,0
2020-05-26,134.47,138.27,134.47,137.0,689100,0.0,0
2020-05-27,140.0,142.0,135.62,136.21,783100,0.0,0
2020-05-28,137.68,138.21,133.74,133.75,578000,0.0,0
2020-05-29,132.52,132.52,127.39,129.69,905100,0.0,0
2020-06-01,129.97,132.74,129.64,130.01,624300,0.0,0
2020-06-02,131.83,135.07,131.03,134.42,768200,0.0,0
2020-06-03,136.82,141.4,136.46,140.98,686500,0.0,0
2020-06-04,139.63,143.22,139.56,142.91,446900,0.0,0
2020-06-05,147.81,154.17,147.8,152.2,963000,0.0,0
2020-06-08,153.35,156.95,153.01,156.06,498500,0.0,0
2020-06-09,152.79,153.08,149.73,151.44,525600,0.0,0
2020-06-10,150.42,150.62,145.33,145.55,534500,0.0,0
2020-06-11,139.28,139.28,132.74,133.33,714700,0.0,0
2020-06-12,137.9,139.23,131.62,135.01,588300,0.0,0
