Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,158.01,160.89,153.98,156.2,779300,0,0
2020-05-14,155.17,158.0,153.67,157.83,838600,0,0
2020-05-15,151.59,159.58,151.52,158.73,1563000,0,0
2020-05-18,159.95,161.9,158.6,159.87,830600,0,0
2020-05-19,160.67,164.34,160.53,162.02,1075400,0,0
2020-05-20,164.26,167.2,164.2,165.47,1221400,0,0
2020-05-21,167.0,169.44,164.86,168.49,1586800,0,0
2020-05-22,169.68,171.47,167.06,171.11,1009000,0,0
2020-05-26,172.08,172.7,168.33,168.53,1075400,0,0
2020-05-27,169.31,170.55,163.0,170.42,1190100,0,0
2020-05-28,170.56,178.33,169.44,174.05,1248500,0,0
2020-05-29,175.95,181.97,175.23,180.91,1567600,0,0
2020-06-01,180.91,184.08,180.1,182.6,1024200,0,0
2020-06-02,183.06,183.73,179.83,183.02,981900,0,0
2020-06-03,184.0,184.54,181.88,184.21,838400,0,0
2020-06-04,183.31,184.49,180.2,182.45,689400,0,0
2020-06-05,182.09,184.41,179.01,182.97,1500800,0,0
2020-06-08,180.71,187.59,179.81,186.82,1060900,0,0
2020-06-09,186.91,192.38,186.18,189.62,935500,0,0
2020-06-10,191.05,192.0,187.31,189.42,1113400,0,0
2020-06-11,189.1,189.1,179.28,179.52,1143600,0,0
2020-06-12,183.35,185.65,176.52,179.6,1156600,0,0
