Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,53.2,54.5,49.22,51.17,13982300,0,0
2020-05-14,50.0,53.49,47.25,51.55,10654900,0,0
2020-05-15,50.45,52.14,49.38,51.32,7579200,0,0
2020-05-18,54.85,57.71,54.78,56.91,9221200,0,0
2020-05-19,57.26,58.92,54.16,56.87,7025000,0,0
2020-05-20,58.59,59.36,54.96,55.67,7010000,0,0
2020-05-21,55.56,57.31,54.6,56.0,6061100,0,0
2020-05-22,56.23,56.4,53.88,54.59,5301500,0,0
2020-05-26,58.0,59.52,56.9,59.25,10442100,0,0
2020-05-27,62.55,63.3,59.43,63.19,9220000,0,0
2020-05-28,63.65,63.79,58.86,59.75,7862000,0,0
2020-05-29,57.68,59.38,56.36,57.7,8496100,0,0
2020-06-01,57.31,61.8,56.86,61.6,6494900,0,0
2020-06-02,62.99,64.49,62.44,63.45,7797600,0,0
2020-06-03,65.7,74.79,65.5,72.88,17321700,0,0
2020-06-04,75.12,77.85,69.64,76.73,17516800,0,0
2020-06-05,83.39,92.96,83.36,88.6,23237100,0,0
2020-06-08,94.88,95.56,89.13,95.5,15401100,0,0
2020-06-09,88.0,90.32,83.74,86.47,12537800,0,0
2020-06-10,87.56,87.56,78.0,83.01,15585400,0,0
2020-06-11,71.69,78.65,70.4,71.92,13082500,0,0
2020-06-12,77.75,78.21,72.82,75.98,10628400,0,0
