Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,121.11,121.94,116.2,118.25,1767400,0,0
2020-05-14,117.1,120.63,114.33,120.34,1360900,0,0
2020-05-15,119.89,120.98,116.92,119.2,2832600,0,0
2020-05-18,122.87,125.84,122.71,124.0,1997200,0,0
2020-05-19,123.8,127.43,122.2,126.1,1678800,0,0
2020-05-20,126.29,127.09,122.29,122.64,1302800,0,0
2020-05-21,122.45,123.79,120.96,121.08,1263800,0,0
2020-05-22,121.14,123.97,120.57,123.81,856900,0,0
2020-05-26,125.72,127.38,124.33,125.23,1189600,0,0
2020-05-27,128.49,128.52,123.24,124.9,1203400,0,0
2020-05-28,127.33,127.78,125.68,127.39,1325500,0,0
2020-05-29,126.47,127.42,124.74,126.31,1794200,0,0
2020-06-01,126.3,130.05,126.15,129.07,1134900,0,0
2020-06-02,130.09,130.45,128.78,130.32,1162000,0,0
2020-06-03,131.37,132.71,130.9,131.6,1397200,0,0
2020-06-04,130.65,130.97,127.37,128.79,1366500,0,0
2020-06-05,130.71,136.08,129.84,133.79,1508100,0,0
2020-06-08,135.11,135.97,133.89,134.79,1355800,0,0
2020-06-09,133.1,133.28,129.78,130.31,1581500,0,0
2020-06-10,130.5,131.4,128.43,128.56,1617800,0,0
2020-06-11,125.17,125.61,122.65,123.48,2478600,0,0
2020-06-12,127.69,128.27,122.08,124.05,2360800,0,0
