Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,148.27,149.69,144.95,146.72,689900,0.0,0
2020-05-14,146.06,153.19,143.78,150.54,1131900,0.0,0
2020-05-15,149.94,153.14,149.53,150.97,1530100,0.0,0
2020-05-18,154.22,160.17,153.28,159.17,568000,0.0,0
2020-05-19,158.85,160.2,157.17,157.28,484600,0.0,0
2020-05-20,158.9,159.5,157.45,157.66,498100,0.0,0
2020-05-21,156.48,157.32,155.34,155.94,332400,0.0,0
2020-05-22,156.26,157.44,154.76,157.12,443700,0.0,0
2020-05-26,159.28,160.73,157.68,158.31,376700,0.0,0
2020-05-27,158.55,159.65,156.58,159.61,434200,0.0,0
2020-05-28,160.73,164.19,159.64,162.43,430300,0.0,0
2020-05-29,163.15,166.0,160.77,165.51,737900,0.0,0
2020-06-01,165.11,166.25,163.95,165.27,554300,0.0,0
2020-06-02,165.56,166.59,161.38,164.06,574700,0.0,0
2020-06-03,164.62,165.15,162.57,162.79,565200,0.0,0
2020-06-04,162.2,163.62,159.62,160.26,544200,0.0,0
2020-06-05,162.26,164.85,161.68,163.53,555300,0.0,0
2020-06-08,162.28,165.42,162.28,165.05,550900,0.0,0
2020-06-09,164.13,165.21,160.95,161.19,486000,0.0,0
2020-06-10,161.68,161.68,158.59,159.27,456800,0.0,0
2020-06-11,157.16,157.16,148.91,149.33,556000,0.37,0
2020-06-12,153.1,154.51,149.34,151.82,522200,0.0,0
