Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,56.0,56.18,53.04,53.27,2362200,0,0
2020-05-14,52.32,54.99,51.21,54.7,2484500,0,0
2020-05-15,53.84,55.09,53.39,54.41,1836400,0,0
2020-05-18,56.31,58.84,55.97,58.46,2540800,0,0
2020-05-19,57.99,58.42,56.69,56.74,1801600,0,0
2020-05-20,57.59,58.86,57.59,58.38,1909500,0,0
2020-05-21,58.04,58.87,57.84,58.09,1667100,0,0
2020-05-22,55.92,56.63,54.26,55.32,3883200,0,0
2020-05-26,57.67,61.32,57.45,60.52,3969000,0,0
2020-05-27,63.68,64.4,62.56,64.34,2998000,0,0
2020-05-28,65.0,65.0,61.88,62.46,3164100,0,0
2020-05-29,61.58,62.68,60.57,60.96,2993900,0,0
2020-06-01,61.43,62.89,61.16,62.35,1702900,0,0
2020-06-02,63.11,63.87,62.27,62.81,1822400,0,0
2020-06-03,64.64,66.1,63.83,65.9,1793200,0,0
2020-06-04,65.25,69.04,65.25,69.03,2798000,0,0
2020-06-05,72.86,74.25,70.02,70.7,3560700,0,0
2020-06-08,71.44,71.74,69.35,71.03,2724600,0,0
2020-06-09,68.9,71.57,68.25,70.48,2412300,0,0
2020-06-10,70.33,70.38,66.13,66.14,3186600,0,0
2020-06-11,62.95,64.72,61.06,61.13,3502600,0,0
2020-06-12,64.05,64.05,60.91,63.12,2754400,0,0
