Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,48.76,48.76,46.89,47.43,1767800,0,0
2020-05-14,46.8,48.07,46.09,48.07,1775500,0,0
2020-05-15,47.18,47.81,46.81,47.77,1811000,0,0
2020-05-18,49.17,49.7,48.81,49.38,1598800,0,0
2020-05-19,49.55,51.03,49.31,50.17,2078200,0,0
2020-05-20,50.82,52.49,50.76,51.85,2601200,0,0
2020-05-21,51.78,52.5,51.15,51.26,2195600,0,0
2020-05-22,51.16,51.37,50.06,50.96,1520400,0,0
2020-05-26,52.45,52.74,51.07,51.2,1820100,0,0
2020-05-27,51.57,52.17,50.16,52.01,2219900,0,0
2020-05-28,52.34,52.44,51.27,51.36,1801100,0,0
2020-05-29,51.13,53.36,51.13,53.04,4215100,0,0
2020-06-01,52.63,52.99,52.05,52.15,2471100,0,0
2020-06-02,51.96,52.72,51.17,52.69,2571200,0,0
2020-06-03,52.8,53.62,52.25,53.12,2323300,0,0
2020-06-04,52.88,54.62,52.79,54.05,2592300,0,0
2020-06-05,55.0,55.75,54.19,54.39,2863700,0,0
2020-06-08,54.88,55.79,54.51,55.63,2929700,0,0
2020-06-09,54.89,55.12,54.1,54.83,2016200,0,0
2020-06-10,55.13,55.71,54.21,55.33,2393000,0,0
2020-06-11,54.0,54.03,50.9,51.26,3746200,0,0
2020-06-12,52.79,52.83,49.8,50.61,4377900,0,0
