Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-13,161.0,161.0,153.1,155.32,1669200,0,0
2020-05-14,152.77,158.28,151.53,157.96,1376900,0,0
2020-05-15,157.23,160.09,155.9,158.49,1112400,0,0
2020-05-18,161.84,169.48,161.84,168.51,1848200,0,0
2020-05-19,167.63,172.66,165.45,168.9,1094300,0,0
2020-05-20,171.39,173.62,169.36,172.47,1125500,0,0
2020-05-21,171.79,172.51,168.29,171.0,971800,0,0
2020-05-22,170.87,172.82,168.16,172.31,1051300,0,0
2020-05-26,175.1,179.08,174.95,176.41,1505500,0,0
2020-05-27,179.24,179.43,171.36,179.38,1428400,0,0
2020-05-28,180.0,180.0,175.23,175.44,823000,0,0
2020-05-29,172.71,176.23,170.54,172.7,1668800,0,0
2020-06-01,172.4,176.28,171.28,173.25,1401200,0,0
2020-06-02,174.29,175.24,171.37,173.23,1158300,0,0
2020-06-03,173.47,176.17,172.77,174.82,1201500,0,0
2020-06-04,174.69,176.26,173.36,175.73,1898800,0,0
2020-06-05,179.07,183.26,177.59,181.42,1753200,0,0
2020-06-08,183.53,186.33,183.01,185.93,960100,0,0
2020-06-09,182.64,183.81,180.07,183.4,1135300,0,0
2020-06-10,183.59,183.59,179.29,180.3,1299400,0,0
2020-06-11,173.86,175.57,167.82,168.67,1500700,0,0
2020-06-12,172.94,173.83,167.27,170.28,929300,0,0
